# {"t_start": 1587222566.2628963, "env_id": "DemonAttackNoFrameskip-v4"} 
r,l,t
130.0,1818,258.913011
70.0,684,400.383013
250.0,1181,620.205013
80.0,836,794.794103
130.0,723,939.684462
100.0,494,1033.180049
265.0,1372,1317.349049
310.0,1787,1654.669048
190.0,844,1810.285048
60.0,454,1892.15905
80.0,610,2002.121048
90.0,683,2129.933049
100.0,432,2211.500049
190.0,703,2330.933049
100.0,646,2449.556047
100.0,436,2531.636048
150.0,435,2605.074049
90.0,382,2677.640047
205.0,1090,2886.568048
265.0,1048,3078.000048
110.0,510,3168.597049
265.0,1230,3386.808048
1000.0,2026,3759.138049
325.0,1580,4762.591048
1840.0,2240,5162.572049
100.0,585,5262.360047
840.0,1582,5552.971047
860.0,1748,5866.024049
1220.0,2651,6356.838049
205.0,900,6519.101048
220.0,1026,6699.62005
520.0,1605,6989.162047
2925.0,3430,7604.127048
760.0,1899,7947.053048
640.0,1489,8209.810049
1200.0,2021,8571.834048
760.0,2304,8988.012048
1540.0,2428,9421.785047
560.0,1916,9764.980048
1720.0,2369,10190.526047
980.0,2608,10659.824048
1200.0,1992,11011.886048
340.0,1580,11300.539047
1520.0,3201,11870.336049
1080.0,1938,12222.088051
920.0,1954,12575.090048
620.0,2136,12962.597366
660.0,2055,13337.561367
1800.0,2347,13758.347366
4540.0,3975,14472.270365
4410.0,3616,15122.932366
100.0,478,15213.366365
1760.0,2218,15610.697366
4550.0,3860,16296.389366
3145.0,3043,16847.079366
1460.0,2314,17271.238365
3790.0,3474,17897.801367
5070.0,3799,18575.264366
295.0,1365,18818.499366
800.0,1620,19108.067365
355.0,1143,19315.482366
2070.0,2316,19730.382366
1560.0,3153,20298.996365
1280.0,2489,20741.239366
1160.0,2595,21201.927364
3895.0,3379,21815.496366
1460.0,1849,22141.362365
6120.0,4130,22880.936366
190.0,885,23042.819366
1760.0,2045,23404.832367
720.0,1905,23747.828365
2765.0,2682,24226.217366
1320.0,2000,24587.170366
5210.0,4013,25308.900366
1920.0,2653,25779.986366
700.0,1701,26086.504366
3210.0,3323,26682.716367
2610.0,3087,27238.672366
400.0,2132,27644.821366
5150.0,4385,28442.329366
4035.0,3776,29119.952365
1780.0,2506,29575.492366
385.0,1415,29829.493366
5830.0,4433,30650.710363
2105.0,3119,31210.503365
1340.0,2278,31617.081364
2040.0,2638,32095.102366
2520.0,2945,32619.409366
2450.0,2926,33149.215364
1640.0,2306,33574.254366
4050.0,4339,34351.546366
5920.0,4147,35101.273366
1760.0,1932,35456.526365
355.0,1268,35703.312366
355.0,1209,35932.039364
2080.0,2213,36335.518366
3840.0,3492,36978.791366
3785.0,3415,37598.747365
5090.0,4066,38340.183366
3715.0,3545,39003.088366
2025.0,2860,39521.364365
2930.0,3317,40164.668377
5060.0,4439,41010.661367
1300.0,1930,41368.042367
4300.0,3482,42065.725366
1820.0,2171,42492.112365
540.0,1610,42821.945364
4000.0,4093,43581.562366
1500.0,1860,43913.366365
1840.0,2583,44381.643366
2305.0,2878,44897.088365
3220.0,3289,45513.983365
4270.0,3937,46237.512366
1680.0,2524,46699.516366
1540.0,2577,47201.294366
2375.0,3017,47742.315366
1980.0,2164,48131.157364
5810.0,4545,48995.413366
6370.0,4107,49861.767366
385.0,1272,50097.517366
2065.0,2676,50650.173366
5920.0,4630,51519.517366
2660.0,2703,52039.712364
3265.0,3180,52713.678365
8330.0,5342,53874.741367
1980.0,2312,54365.343363
4820.0,3158,54982.937375
5880.0,4399,55921.988368
4160.0,3515,56726.161366
5300.0,3665,57447.457366
30.0,277,57521.124367
1320.0,1944,58020.846367
5190.0,4774,59201.707369
3550.0,3656,59983.656366
3500.0,3339,60708.919366
1400.0,1719,61038.421364
2315.0,2421,61593.265365
1240.0,1872,62010.552365
5270.0,4090,62986.154366
4680.0,3372,63747.980366
355.0,1270,63989.017366
2355.0,2637,64488.426364
2885.0,2725,64977.076366
6420.0,4143,65788.747366
130.0,581,65888.869366
2185.0,3006,66433.803366
1120.0,1726,66750.987365
3105.0,3114,67332.143365
1300.0,2052,67695.856366
1240.0,1694,68008.204364
1240.0,1908,68364.587366
1280.0,2160,68757.673365
6280.0,4639,69664.326365
3135.0,3211,70284.074365
1860.0,1744,70637.465366
2930.0,2829,71235.590368
5800.0,4319,72116.781365
3300.0,2822,72628.013366
340.0,1221,72853.477366
3545.0,2793,73401.999366
1260.0,1987,73768.815367
3780.0,4130,74562.379366
