# {"t_start": 1587222565.953897, "env_id": "DemonAttackNoFrameskip-v4"} 
r,l,t
90.0,622,39.574063
235.0,1107,239.300011
265.0,1496,533.756013
40.0,364,602.011012
385.0,2218,1043.036046
70.0,435,1143.318049
370.0,1470,1444.836048
265.0,1152,1654.359047
120.0,700,1773.204048
90.0,485,1865.074047
340.0,2039,2239.579047
355.0,1790,2568.481048
325.0,1366,2831.910048
60.0,296,2886.308047
90.0,877,3041.84405
385.0,1220,3260.264048
110.0,540,3359.407045
385.0,1293,3586.777048
800.0,1962,4663.469048
460.0,1512,4935.586048
150.0,732,5063.965048
190.0,981,5244.012048
620.0,1663,5543.808048
110.0,760,5684.958047
420.0,1924,6028.491048
680.0,1496,6301.244047
140.0,633,6420.384046
1360.0,2017,6781.162048
480.0,1374,7025.980047
820.0,1842,7359.944048
800.0,1853,7686.190047
540.0,1828,8019.804057
340.0,1346,8256.163048
1440.0,1953,8608.224048
1240.0,2256,9015.403048
325.0,1442,9268.631047
3360.0,3105,9828.654048
840.0,1596,10109.562047
560.0,1992,10470.810047
3635.0,4256,11237.822049
4810.0,4270,12005.411047
760.0,1676,12304.178048
420.0,1429,12557.675048
1960.0,2912,13091.254365
920.0,1767,13410.922365
520.0,1737,13722.261365
340.0,1187,13940.074365
2970.0,2796,14444.946366
1980.0,2547,14897.399365
1400.0,2137,15277.580365
3025.0,3224,15863.261365
4420.0,3629,16513.421365
2345.0,2976,17045.992366
3290.0,2856,17570.743366
5360.0,4888,18448.965366
1500.0,2157,18836.695369
1260.0,1721,19144.236364
460.0,1591,19424.392364
2700.0,2809,19929.441366
5745.0,4377,20714.675365
1160.0,2282,21128.971362
2930.0,3539,21761.531365
840.0,1636,22051.233366
3595.0,3729,22719.372365
3745.0,3232,23305.259365
960.0,1881,23639.371365
4700.0,4459,24442.209365
385.0,1397,24687.043365
3685.0,4234,25454.386365
1160.0,1873,25788.774375
880.0,1694,26087.019366
5540.0,5010,26993.994365
3100.0,2793,27497.149365
1420.0,2304,27936.279365
2460.0,2502,28388.411365
880.0,1603,28676.755365
580.0,1327,28912.139364
2300.0,2860,29427.062365
760.0,1522,29702.919366
310.0,1087,29893.110364
2210.0,3215,30496.927366
2295.0,2342,30913.032367
960.0,2045,31283.010365
2280.0,2610,31752.316365
2110.0,2618,32222.033366
2045.0,2476,32664.929365
2530.0,2846,33185.360366
2370.0,2520,33646.400364
355.0,1157,33845.833365
4170.0,3569,34487.975365
1040.0,1882,34830.413365
4340.0,3359,35439.031365
4310.0,3574,36113.684367
325.0,1207,36336.287365
2970.0,2841,36861.592365
1140.0,1549,37142.081366
440.0,1637,37443.231365
440.0,1198,37654.278363
2340.0,2587,38127.934365
1600.0,2039,38495.141366
1720.0,2089,38876.658367
3090.0,2563,39365.329365
2865.0,2632,39841.452362
2080.0,3048,40443.115366
1780.0,2958,41002.473366
3830.0,3571,41691.606366
620.0,1414,41984.377365
250.0,1034,42175.765365
140.0,680,42307.543365
6150.0,3894,43073.943365
960.0,2175,43482.856367
4015.0,3707,44148.196368
4760.0,4315,44924.748366
5530.0,4687,45794.680365
4450.0,3680,46481.469365
6430.0,5207,47454.318365
2890.0,3262,48041.304364
2475.0,3358,48675.043365
4005.0,3390,49362.938365
4620.0,3818,50126.033362
5030.0,4185,50984.106364
6780.0,4665,51841.782365
1120.0,1831,52251.362363
3625.0,3544,52930.704365
2025.0,2811,53546.325365
1140.0,2116,54053.720366
2815.0,2880,54634.009365
5330.0,4099,55470.811365
1200.0,2163,55931.752364
3660.0,3257,56689.303365
1900.0,2383,57127.908364
480.0,1786,57535.687364
150.0,650,57711.496366
5070.0,4182,58791.336365
1880.0,1999,59220.870363
980.0,1922,59661.478365
6840.0,4599,60632.545366
1540.0,2217,61078.514365
1320.0,2071,61551.755365
5740.0,4748,62657.704365
4850.0,3685,63516.812366
580.0,1850,63882.807363
1520.0,2139,64304.826363
7290.0,5125,65286.176366
4120.0,3716,65957.060363
205.0,919,66127.072366
2715.0,3025,66677.676365
1360.0,2013,67048.505366
640.0,1765,67377.570365
4670.0,3678,68053.268365
3945.0,3140,68620.158365
4280.0,3850,69333.996365
5040.0,4275,70202.592365
1760.0,2046,70610.259365
7520.0,5684,71782.913365
5830.0,3881,72536.757365
9080.0,5217,73528.640366
1140.0,2343,73966.806365
4540.0,3708,74680.626365
1320.0,1556,75003.742365
