# {"t_start": 1587222566.092898, "env_id": "DemonAttackNoFrameskip-v4"} 
r,l,t
960.0,2065,305.82901
205.0,918,487.854011
250.0,1059,692.488008
190.0,1105,911.965812
440.0,1534,1225.357046
70.0,362,1308.075048
235.0,1071,1518.372046
205.0,848,1672.516049
205.0,737,1800.104046
150.0,805,1947.403047
220.0,1202,2174.865045
70.0,507,2266.390045
310.0,1010,2449.152046
220.0,1243,2669.140046
280.0,958,2859.337047
60.0,377,2923.236047
280.0,1478,3196.306048
385.0,1421,3450.151047
205.0,1214,3667.973047
540.0,1427,4644.797046
385.0,1727,4953.648047
820.0,2077,5326.015044
340.0,932,5497.115044
400.0,1579,5784.583049
310.0,993,5965.125047
220.0,892,6118.827047
310.0,1374,6383.808047
1760.0,2569,6844.095047
1180.0,2171,7233.305047
355.0,1326,7468.562044
1560.0,2095,7839.575046
1400.0,2187,8237.425046
385.0,1554,8517.279047
1140.0,1487,8779.701047
400.0,1306,9015.471046
2600.0,3104,9575.464047
2990.0,3308,10163.842046
480.0,1861,10497.899047
1480.0,2549,10957.23705
1620.0,2309,11372.891047
190.0,686,11490.679048
4340.0,3835,12177.367045
940.0,1878,12520.784048
2320.0,2673,13008.790365
2640.0,3087,13566.124363
3020.0,3073,14120.366364
2865.0,3263,14708.063361
1360.0,2671,15186.652364
235.0,1165,15394.532365
1080.0,1875,15728.297365
1080.0,1913,16071.300364
6715.0,5226,17009.821364
2590.0,2935,17543.903364
1420.0,2473,17996.926365
280.0,1203,18205.198364
3505.0,3413,18818.763362
355.0,1539,19098.629365
1340.0,2192,19487.466363
1800.0,2391,19919.913364
1740.0,2698,20399.000362
720.0,2929,20930.653364
2930.0,3755,21599.418374
1240.0,2023,21960.932364
6560.0,4693,22808.681364
1280.0,2055,23177.929365
720.0,1859,23504.363364
580.0,1487,23774.983364
580.0,1470,24036.225364
2310.0,2896,24551.556365
5280.0,3962,25264.245364
4960.0,3910,25969.528364
7480.0,4705,26809.783364
980.0,1803,27138.854364
4310.0,3833,27863.621365
2120.0,2547,28316.500365
1720.0,2101,28694.899364
2855.0,2901,29210.636364
4105.0,3596,29865.743365
3910.0,4209,30650.359365
2620.0,3159,31210.939365
1940.0,3005,31752.358365
1260.0,2467,32194.699366
1220.0,2259,32601.281364
800.0,1749,32909.616365
1320.0,1689,33221.615365
2125.0,2694,33710.405374
1360.0,2093,34089.259362
5840.0,3959,34802.982364
2020.0,2416,35245.545364
720.0,1607,35548.633364
1500.0,2444,36004.204365
370.0,1327,36240.849363
1920.0,2169,36639.429365
2200.0,2611,37123.406362
6510.0,4121,37871.028364
400.0,1245,38092.099365
1240.0,1871,38431.825364
880.0,1468,38703.701364
3550.0,2906,39239.551364
80.0,406,39320.549364
4410.0,4099,40110.235366
4940.0,4586,40970.548365
1220.0,1679,41278.236364
3970.0,4793,42230.601365
205.0,993,42429.624365
2920.0,2969,43012.313364
295.0,1388,43276.119364
1020.0,1947,43627.531364
370.0,1204,43850.084364
4370.0,3810,44535.735362
5910.0,5182,45491.133365
4540.0,3367,46110.255363
5260.0,4174,46894.079363
1600.0,1939,47255.949364
2410.0,2250,47661.473364
1380.0,2176,48050.210364
2040.0,2721,48562.652364
3860.0,3888,49340.431364
800.0,1907,49742.929362
1460.0,2141,50154.342364
4420.0,4021,50983.333364
2120.0,2287,51392.539364
3635.0,2979,51946.233363
4620.0,3992,52785.775365
310.0,1632,53079.963365
4760.0,3645,53947.411365
2280.0,2460,54461.489364
640.0,1511,54746.506365
5240.0,4294,55640.713365
3945.0,3678,56471.773365
5600.0,4185,57290.522364
1460.0,1883,57784.829364
460.0,1424,58154.475363
2625.0,3151,58944.587363
2795.0,2721,59575.280365
4400.0,4123,60422.699363
1480.0,2723,60983.914364
4480.0,3977,61854.609364
4320.0,3480,62706.722364
385.0,1446,63040.090362
1720.0,2602,63642.905364
340.0,1049,63836.518365
2410.0,2921,64397.059365
7870.0,4767,65313.630364
2040.0,2591,65789.180367
1400.0,2701,66272.332365
5390.0,3833,66984.636365
6900.0,3966,67713.442364
3010.0,2758,68219.900365
295.0,1348,68464.633363
940.0,1849,68803.147364
1780.0,2264,69219.559364
7280.0,5343,70284.309364
6490.0,5469,71413.727364
8095.0,4341,72293.330364
3240.0,3378,72900.265364
1200.0,1935,73288.574364
2040.0,2578,73778.416365
4900.0,3468,74427.190364
1920.0,2295,74899.303364
