# {"t_start": 1587222566.4648974, "env_id": "DemonAttackNoFrameskip-v4"} 
r,l,t
235.0,956,99.806434
175.0,1063,295.768011
355.0,1468,579.23501
130.0,882,765.795928
100.0,575,873.70918
100.0,529,978.575461
90.0,577,1105.582047
50.0,317,1161.119057
150.0,719,1307.934046
400.0,1764,1644.882046
160.0,998,1819.819046
100.0,550,1920.173047
40.0,216,1956.571047
1000.0,2590,2439.775049
140.0,827,2586.583047
620.0,1681,2904.687045
120.0,809,3050.994048
250.0,1333,3295.835047
220.0,1007,3477.062048
235.0,914,3640.450048
175.0,711,4488.923049
295.0,1161,4699.190047
520.0,1709,4998.886048
940.0,1793,5325.273047
295.0,1259,5553.025048
400.0,1886,5893.087048
420.0,1393,6145.314047
280.0,1646,6455.707048
1740.0,2840,6961.986048
1360.0,2443,7396.313046
310.0,1222,7621.843047
370.0,1157,7821.150047
1280.0,2543,8282.725048
340.0,1358,8526.161045
1260.0,1998,8879.277048
1720.0,2506,9331.373047
1540.0,2159,9719.739047
1940.0,2303,10135.761047
295.0,1227,10352.723047
1220.0,2118,10732.003047
1200.0,2296,11146.800047
280.0,1226,11363.545045
4150.0,3579,12005.216044
1360.0,2038,12367.493048
900.0,2056,12743.257365
1120.0,2160,13136.375365
355.0,1030,13319.390367
780.0,1397,13574.873363
250.0,954,13748.554364
920.0,1836,14074.915362
1660.0,2047,14444.679364
440.0,1442,14698.832365
1200.0,1828,15031.767363
3250.0,3780,15709.576365
310.0,1197,15917.502365
2060.0,2792,16422.823363
1760.0,2841,16928.546364
1660.0,2354,17361.694365
6250.0,4818,18231.593365
1640.0,2661,18709.929365
1180.0,1773,19025.754365
175.0,721,19153.009362
660.0,1631,19441.943365
1500.0,2686,19928.459365
2200.0,3081,20479.510363
5710.0,5894,21535.658365
2370.0,2914,22059.537363
1880.0,2558,22519.805365
2405.0,2782,23015.759363
1950.0,2572,23476.573365
385.0,1368,23720.515366
2200.0,2376,24144.816365
4970.0,3757,24821.387366
2080.0,2723,25309.062365
3350.0,3454,25932.867364
1080.0,2071,26303.239365
1520.0,2270,26709.318366
2505.0,3224,27292.572365
5370.0,4302,28098.665365
3120.0,3105,28649.580364
4120.0,3631,29300.488365
2280.0,2654,29784.077364
3260.0,3093,30369.504364
2120.0,2287,30776.908365
295.0,952,30948.069364
4370.0,3484,31571.475364
580.0,1513,31842.189366
900.0,1709,32149.076365
1120.0,1970,32501.462364
2920.0,3010,33049.010363
2975.0,3141,33619.322365
1640.0,2882,34134.387364
2120.0,2632,34612.810364
3560.0,3204,35182.591365
1660.0,2297,35629.468364
3805.0,2818,36149.557365
1440.0,2961,36693.100364
1000.0,2115,37086.597365
1380.0,1658,37376.526366
3895.0,3208,37964.775366
1860.0,2463,38412.578365
385.0,1217,38631.502365
4450.0,4261,39429.514367
2315.0,3135,40020.919368
3260.0,3275,40653.511364
1980.0,2461,41112.214365
2970.0,3649,41828.648365
1160.0,1855,42193.424362
680.0,1937,42577.656364
3360.0,2740,43113.941364
2835.0,3331,43725.985365
420.0,1264,43957.723366
1020.0,1768,44273.197364
2385.0,2861,44780.179365
9040.0,5775,45856.586365
4700.0,3885,46571.425364
1720.0,1692,46894.127363
1420.0,2201,47309.513364
2930.0,2907,47832.681365
1680.0,2598,48294.352365
1200.0,1898,48665.582365
5600.0,4335,49551.100362
7090.0,5043,50581.680364
6960.0,4695,51464.900365
1480.0,2208,51878.915365
6280.0,4383,52785.826365
6115.0,4043,53691.973366
340.0,1182,53946.620365
6460.0,3933,54737.084365
1380.0,2097,55160.625366
1460.0,2404,55667.799366
1700.0,2325,56191.389365
1600.0,2179,56697.961366
5600.0,4429,57617.809365
2585.0,3455,58494.247365
3255.0,3785,59401.685365
6560.0,5307,60519.884366
175.0,869,60717.659365
1320.0,1955,61105.243365
280.0,1719,61500.773363
2745.0,2889,62157.350365
325.0,1167,62425.349363
4790.0,4626,63525.353366
325.0,1184,63757.515363
370.0,1506,64043.523364
1920.0,2161,64460.979374
8480.0,5284,65471.137365
355.0,1175,65680.696364
6790.0,5120,66614.446365
4830.0,3847,67332.053365
2675.0,2459,67777.373365
5240.0,3390,68400.835363
2690.0,2509,68856.874366
3260.0,2624,69342.570367
5520.0,4401,70230.031364
6010.0,4397,71138.116365
6140.0,4246,72014.917369
325.0,1118,72227.338365
5720.0,4132,72972.891364
8275.0,4952,73939.289365
6190.0,4914,74907.697364
