# {"t_start": 1587222567.992897, "env_id": "DemonAttackNoFrameskip-v4"} 
r,l,t
620.0,2350,367.056011
60.0,322,430.52701
110.0,668,550.228012
110.0,541,658.976011
150.0,1146,890.777175
250.0,985,1086.37005
190.0,917,1261.369047
175.0,952,1470.724046
160.0,689,1597.790048
340.0,1307,1827.314048
235.0,2546,2301.388048
150.0,970,2475.566047
235.0,928,2648.458047
220.0,1080,2857.235047
150.0,730,2984.430048
310.0,1373,3231.456048
340.0,1489,3502.871048
340.0,1073,3693.756047
355.0,1332,4652.637046
340.0,1746,4969.685046
160.0,675,5089.034047
295.0,1285,5323.487048
440.0,1282,5551.842058
620.0,1822,5882.375048
1700.0,2513,6346.223048
340.0,1328,6581.020047
960.0,1680,6887.517046
520.0,1402,7132.835047
150.0,887,7294.885047
355.0,1340,7538.792047
1060.0,1957,7882.766047
1340.0,2150,8272.143046
3080.0,3175,8841.250048
900.0,1756,9157.931047
1160.0,1906,9501.310048
1880.0,2913,10025.472045
1440.0,2224,10423.020048
1620.0,2333,10838.115047
740.0,1928,11181.873047
780.0,1969,11534.12305
250.0,1058,11723.998048
3990.0,3271,12311.411047
310.0,1239,12537.069049
1720.0,3719,13216.980365
1280.0,2009,13573.936365
5080.0,4227,14343.685365
400.0,1181,14552.050366
90.0,453,14633.457365
2220.0,2825,15139.129366
2940.0,3335,15735.399364
6330.0,4788,16593.089365
2265.0,3198,17179.316365
3840.0,3105,17742.573366
1740.0,2839,18248.509366
1720.0,2134,18627.676365
1460.0,1999,18988.116366
340.0,1074,19178.715366
740.0,1707,19485.246364
1440.0,2782,19981.919365
5360.0,4009,20703.380365
4550.0,4259,21470.420365
1280.0,2303,21877.645365
1940.0,2450,22319.719367
1260.0,2158,22707.832364
1900.0,2129,23086.439365
1760.0,2173,23475.118365
2815.0,2770,23971.402365
540.0,1315,24206.559364
1580.0,2272,24612.901365
700.0,1623,24901.590366
6280.0,5022,25805.397366
1140.0,1864,26139.202366
3060.0,3005,26680.676364
2335.0,2531,27136.869365
175.0,856,27291.269366
900.0,1808,27634.058366
2670.0,3110,28205.795362
1320.0,1839,28530.805365
385.0,1455,28792.750365
940.0,1564,29072.695364
660.0,1882,29407.352365
3400.0,3238,30015.912364
4430.0,3748,30694.179365
1840.0,2880,31208.953365
1240.0,1868,31543.143365
2185.0,2764,32039.646365
310.0,862,32193.052367
60.0,347,32256.111365
4820.0,4383,33047.974365
6300.0,4544,33870.865365
2810.0,3182,34448.926365
2650.0,2656,34919.544364
100.0,533,35018.465365
5130.0,3525,35683.174365
1240.0,1768,36011.564365
680.0,1405,36265.985365
2410.0,3078,36832.440365
520.0,1405,37094.273365
5450.0,4346,37878.983366
4030.0,3167,38456.880366
720.0,1890,38802.093375
720.0,1457,39075.272374
5200.0,3940,39803.168365
540.0,1687,40144.821363
4730.0,4206,40941.149365
1200.0,2158,41348.157365
4560.0,3849,42109.353365
780.0,1491,42400.376365
1640.0,2251,42856.647365
760.0,1949,43220.380365
5010.0,3522,43866.154364
2990.0,3494,44488.991364
2040.0,4191,45272.712366
1600.0,2462,45719.887365
3790.0,3831,46425.136365
1720.0,2201,46838.751365
2250.0,2606,47334.559365
5020.0,4048,48057.397364
5610.0,5154,49061.054375
2455.0,2607,49587.290365
3430.0,3111,50199.630368
1180.0,2122,50648.718368
6200.0,4507,51499.372364
310.0,1500,51781.830365
1680.0,2145,52249.001365
7545.0,4599,53124.970365
2200.0,2025,53661.699363
480.0,1410,53954.159365
6290.0,4560,54862.226364
1760.0,2835,55459.834365
4310.0,3748,56306.586366
3820.0,4284,57170.804366
1180.0,2071,57669.296375
6260.0,4016,58692.676365
1940.0,2398,59246.382367
1080.0,2179,59726.662363
4150.0,3348,60430.595365
2840.0,2812,61009.115366
2745.0,2558,61578.134364
6120.0,4890,62731.821365
1400.0,2270,63267.141365
2120.0,3124,63918.389365
1600.0,2186,64340.138365
3990.0,3447,64966.012365
5040.0,3913,65732.864365
3030.0,2732,66224.433365
1920.0,1975,66585.644365
1100.0,1609,66880.177366
600.0,1534,67161.066365
1060.0,1564,67449.166365
5040.0,3380,68070.584366
1160.0,1586,68362.728366
370.0,1218,68580.611365
4380.0,3867,69289.990366
5790.0,3876,70088.087365
4690.0,3700,70832.875365
3950.0,3407,71520.968365
6000.0,4595,72436.202363
2650.0,2808,72944.111365
4700.0,3489,73625.727365
8280.0,4907,74561.124365
