# {"t_start": 1587222565.926898, "env_id": "DemonAttackNoFrameskip-v4"} 
r,l,t
110.0,641,39.953052
140.0,909,210.876009
50.0,251,258.394011
190.0,1255,505.69101
310.0,1113,719.394021
175.0,1016,930.398459
80.0,938,1115.958047
250.0,1011,1317.994047
235.0,1143,1545.830047
250.0,1121,1745.478048
80.0,938,1911.770047
90.0,417,1992.731047
90.0,1010,2184.062046
120.0,434,2257.605046
1000.0,2035,2623.959047
600.0,2008,3004.536047
70.0,324,3060.734045
130.0,527,3159.825047
265.0,1261,3386.770048
140.0,997,3559.812047
100.0,579,3668.214047
1180.0,2444,4827.207049
160.0,888,4989.765047
1580.0,2725,5479.197048
700.0,1546,5766.275047
840.0,2054,6128.053047
660.0,1509,6411.486046
2040.0,3136,6980.344047
190.0,1118,7179.382048
140.0,988,7351.429047
540.0,1440,7613.338046
1620.0,2116,7992.655046
1340.0,2252,8391.890047
1280.0,1534,8671.448046
1000.0,1777,8988.489048
265.0,1664,9286.568048
1180.0,2707,9774.263045
640.0,1781,10091.196048
3040.0,3367,10696.344047
1020.0,1828,11021.121047
1460.0,2246,11427.404046
2590.0,3649,12078.499046
1420.0,2688,12566.414045
220.0,892,12720.904047
1520.0,2655,13210.241364
1240.0,1968,13566.365364
760.0,1677,13867.863363
4340.0,4124,14608.649365
4075.0,3673,15268.500365
1460.0,2165,15656.727364
2240.0,2729,16152.173364
5430.0,3527,16784.016363
980.0,1898,17127.226363
5440.0,5405,18105.605364
920.0,1857,18439.742363
4930.0,3918,19144.160364
80.0,439,19217.071363
1220.0,2036,19586.270364
460.0,1551,19857.315365
3445.0,3068,20408.188364
4310.0,5740,21445.255364
1900.0,2209,21834.561364
840.0,1657,22132.666364
400.0,1520,22403.569364
295.0,895,22565.549364
3960.0,3687,23224.355364
4700.0,3390,23838.348363
980.0,2078,24208.378363
660.0,1326,24442.721363
5820.0,4212,25201.232363
4025.0,3164,25770.798365
1000.0,2077,26141.051366
3335.0,3022,26682.927366
3290.0,3044,27238.190364
2160.0,2742,27745.792365
2950.0,2954,28289.298364
1905.0,2446,28722.707364
4000.0,3820,29409.562364
5280.0,4646,30279.938364
2630.0,3170,30849.348365
3715.0,4441,31644.370364
3190.0,3125,32204.291363
5110.0,4177,32954.853364
3585.0,3430,33592.360363
4180.0,3489,34215.697364
4030.0,3891,34912.423364
1480.0,2358,35347.703363
1740.0,1793,35694.014364
1900.0,2266,36104.490364
1320.0,1940,36467.232363
1300.0,2132,36852.921365
1980.0,2502,37312.968366
295.0,1022,37498.797363
5030.0,4141,38250.410365
2545.0,2880,38776.809365
1120.0,1844,39122.291364
1400.0,1942,39485.117364
1700.0,2247,39891.516364
5180.0,4436,40759.139364
3140.0,3698,41464.466363
3840.0,3816,42212.844365
3540.0,3111,42849.273364
1780.0,2489,43303.959364
1440.0,2257,43717.847364
370.0,1358,43967.613365
3540.0,3740,44635.914364
5710.0,4398,45455.296364
960.0,1998,45812.835365
4260.0,3693,46500.077367
1680.0,2512,46979.988364
3275.0,3173,47562.192363
3810.0,3193,48132.023365
5510.0,4385,48964.636365
1160.0,2329,49475.595364
7565.0,6018,50704.685364
6950.0,4832,51595.260363
6160.0,5561,52723.409366
1800.0,1919,53071.074365
7730.0,5323,54300.950364
3815.0,3554,54992.488364
370.0,1271,55249.696363
1040.0,1801,55649.453364
2275.0,2472,56201.027365
2330.0,3070,56871.335364
2175.0,2547,57354.101363
2345.0,3056,58154.447365
540.0,2020,58667.874364
2990.0,2903,59340.108364
3395.0,2910,59951.941364
2460.0,2936,60588.086365
1160.0,2233,61029.985363
1520.0,2196,61542.708365
5280.0,3982,62448.538365
1600.0,2257,62986.860364
1240.0,2306,63534.829366
1160.0,1835,63892.289364
385.0,1185,64117.564364
5760.0,5875,65237.908364
2585.0,2587,65725.983364
980.0,2093,66100.693367
1080.0,1856,66434.482364
940.0,1784,66761.007366
80.0,609,66873.591364
960.0,1808,67208.328364
355.0,1200,67432.907364
6730.0,4446,68247.437364
1120.0,2301,68666.122364
5310.0,3848,69384.134362
6950.0,4430,70275.168363
6645.0,5712,71443.045373
1020.0,1808,71823.410364
1660.0,2106,72246.570363
4510.0,3667,72909.132373
4140.0,3330,73564.204366
7080.0,5216,74549.477365
820.0,1407,74845.023365
190.0,764,75003.007366
