# {"t_start": 1587222567.4868977, "env_id": "DemonAttackNoFrameskip-v4"} 
r,l,t
205.0,2435,385.765009
40.0,247,439.612011
70.0,292,486.042008
220.0,1180,717.676012
120.0,656,841.281191
540.0,1670,1178.988049
325.0,1198,1434.563046
340.0,1417,1689.859047
325.0,1806,2027.871046
220.0,1272,2256.279047
130.0,790,2402.241046
355.0,1511,2676.517046
235.0,916,2857.477046
385.0,1337,3095.156047
620.0,1899,3439.614048
140.0,721,3566.939046
385.0,1659,4587.918048
110.0,547,4680.659047
500.0,2041,5053.043046
325.0,1419,5306.133048
960.0,2055,5683.605048
420.0,1734,5991.173048
370.0,1490,6271.75305
250.0,916,6436.846049
310.0,1366,6680.102048
340.0,1238,6897.591046
960.0,2256,7304.466047
1320.0,2210,7702.359049
1740.0,2912,8226.822047
960.0,1920,8570.389048
235.0,923,8733.296046
250.0,890,8895.865046
940.0,2239,9294.163048
1960.0,2912,9818.139045
880.0,1743,10134.556047
4380.0,4846,11001.225045
940.0,2029,11362.964045
1520.0,1938,11715.000047
1520.0,2023,12076.400047
1320.0,1917,12420.184047
110.0,515,12510.535045
1180.0,2098,12897.232364
880.0,1656,13190.574362
2105.0,3319,13793.782364
150.0,764,13929.915365
620.0,1326,14173.146366
3070.0,3417,14787.267365
1860.0,2350,15203.580364
220.0,1043,15392.900365
1980.0,2184,15780.952364
3340.0,3061,16331.280365
2470.0,3372,16936.355365
2315.0,2532,17397.140364
3665.0,3847,18094.969364
2265.0,2680,18573.849366
3890.0,3391,19187.806364
1360.0,2251,19585.231365
940.0,2199,19982.045364
1960.0,2307,20396.920363
1120.0,2075,20767.035375
720.0,2331,21182.351364
2000.0,2355,21606.712366
370.0,1504,21877.453365
3200.0,2839,22383.491364
2610.0,3094,22942.551363
2610.0,3362,23539.106365
2965.0,3554,24179.773364
4210.0,4930,25064.364365
5170.0,4380,25851.200365
4580.0,4464,26654.193364
3130.0,2963,27191.540364
130.0,547,27291.280366
3705.0,3799,27997.956365
4760.0,4225,28757.374364
4105.0,3235,29344.214365
4590.0,4041,30089.186364
1240.0,2195,30494.927365
370.0,1225,30712.602364
5490.0,4313,31488.649363
2890.0,3103,32040.262374
4160.0,4045,32771.633362
5130.0,3911,33483.134364
760.0,1469,33753.430365
3575.0,3504,34377.400364
4690.0,3771,35055.190364
3100.0,3118,35646.720362
680.0,1496,35930.425365
325.0,1240,36148.955362
2470.0,2387,36583.474364
5010.0,4181,37356.388366
5530.0,3852,38054.456365
2160.0,2066,38430.152365
1460.0,2139,38820.905364
1720.0,2099,39210.989364
2280.0,2430,39656.960365
4130.0,4084,40458.937365
3240.0,3115,41046.925365
1240.0,2355,41490.406364
5490.0,4351,42351.880366
4510.0,3890,43122.012364
1580.0,2521,43581.047363
4480.0,4364,44371.835365
4120.0,4309,45169.654364
1280.0,2240,45576.380364
2180.0,2456,46027.414365
2855.0,3154,46606.878364
1780.0,2618,47118.605365
5620.0,4445,47913.258364
1260.0,2566,48374.611364
1420.0,1857,48737.476365
2700.0,3206,49399.444362
1480.0,2263,49869.866363
1980.0,2420,50351.963364
2820.0,3480,51046.277365
2400.0,2699,51527.628365
5260.0,4334,52437.184364
1460.0,2527,52902.085364
2745.0,3619,53735.741364
4580.0,4422,54650.284365
4020.0,3684,55394.539364
250.0,1327,55675.928365
3665.0,3385,56452.173366
5850.0,3833,57207.698366
920.0,2065,57723.498366
4420.0,3803,58692.900374
5420.0,3817,59582.957362
1780.0,2373,60050.715364
4400.0,3871,60873.153368
4090.0,3771,61691.081364
840.0,1840,62137.687364
2060.0,2761,62777.697365
6950.0,5842,64055.641368
760.0,1965,64432.650364
4600.0,3665,65101.159364
5960.0,4068,65887.292365
6340.0,4738,66749.552364
5900.0,4884,67649.490364
4490.0,3955,68373.147363
520.0,1577,68664.258365
5280.0,4012,69411.240366
2490.0,3001,70029.725364
5960.0,4451,70933.479365
4260.0,3472,71632.820364
2505.0,2364,72132.965365
2190.0,2897,72653.739376
1160.0,2058,73026.774362
6100.0,4100,73824.634365
6660.0,4796,74753.064364
