# {"t_start": 1587222566.342896, "env_id": "DemonAttackNoFrameskip-v4"} 
r,l,t
110.0,505,11.528004
205.0,1149,228.933013
140.0,766,377.925011
110.0,798,532.973013
265.0,1009,728.201013
265.0,1096,949.782461
580.0,1672,1289.679051
220.0,830,1463.129047
235.0,1030,1645.362058
190.0,800,1790.679048
295.0,1548,2083.458047
480.0,1666,2384.932046
100.0,472,2467.518049
235.0,951,2641.066048
175.0,1072,2849.62605
235.0,2113,3232.557051
265.0,1193,3449.687049
235.0,2242,4570.999049
90.0,544,4671.791049
205.0,773,4807.70505
220.0,1436,5063.423048
2585.0,2586,5533.748048
205.0,626,5647.422048
355.0,1410,5901.864048
325.0,1217,6118.166049
265.0,1261,6356.652049
1120.0,2285,6762.874049
110.0,569,6862.634046
325.0,1059,7053.107048
1200.0,2327,7468.869051
420.0,1345,7712.722049
2210.0,2996,8255.147058
460.0,1644,8544.705048
880.0,1961,8897.39405
2235.0,2626,9367.460047
1800.0,2157,9755.871048
1200.0,2179,10145.413049
1200.0,2657,10623.84905
2080.0,2645,11101.685049
1760.0,2263,11499.823051
1160.0,1902,11842.991048
2390.0,2545,12303.510046
1280.0,1850,12629.88605
1340.0,1860,12971.818366
1120.0,1942,13328.145367
1940.0,2457,13767.571366
4390.0,3589,14417.467366
1300.0,2146,14797.996366
60.0,317,14852.248366
1860.0,2142,15240.563366
1240.0,1850,15566.225365
5210.0,4262,16332.662366
460.0,1764,16648.678368
1220.0,2588,17126.154367
880.0,1717,17434.143366
5370.0,4537,18249.920367
2860.0,3210,18827.092366
680.0,1900,19162.465365
1720.0,2521,19613.604367
1180.0,2400,20046.598366
4590.0,4956,20939.460366
6590.0,4415,21725.500366
4850.0,4210,22484.116364
1440.0,2607,22953.082366
980.0,2022,23314.364365
3050.0,3452,23936.828367
1460.0,1765,24252.733366
3115.0,3077,24803.384366
3720.0,3805,25481.715367
5540.0,4833,26357.340364
2080.0,2435,26791.147366
2255.0,2701,27283.267365
370.0,1501,27555.318367
4880.0,3777,28253.376365
325.0,1376,28505.072367
340.0,1080,28694.906367
2765.0,3425,29309.442366
340.0,1100,29508.312366
3280.0,3608,30180.384363
2350.0,2749,30677.764366
1820.0,2385,31110.661367
1640.0,2397,31535.506366
640.0,1610,31824.247366
620.0,1446,32085.980367
1900.0,2311,32493.129366
4280.0,3709,33167.316366
5800.0,4742,34034.546364
6820.0,4130,34775.643367
6490.0,4665,35647.396365
1820.0,2493,36103.649366
175.0,782,36241.068365
1540.0,2299,36666.354366
2305.0,2721,37168.452366
460.0,1690,37480.024367
2000.0,2416,37918.574366
325.0,1024,38100.496366
2940.0,3099,38659.071366
1840.0,2149,39067.576366
1400.0,2242,39476.277363
4840.0,3942,40238.189368
3650.0,3416,40888.773366
3485.0,3035,41463.978366
1380.0,1996,41856.286366
2630.0,2598,42362.438366
355.0,1235,42624.417366
1780.0,2522,43113.386367
3825.0,3858,43813.929367
2870.0,3673,44472.492367
1960.0,2583,44942.119367
2575.0,3333,45568.027366
5700.0,4443,46381.281376
1520.0,2661,46885.000367
2440.0,2669,47381.792367
4325.0,3032,47923.624366
1560.0,1964,48276.315364
5075.0,4357,49140.924366
1380.0,2138,49579.482366
8760.0,5729,50761.078366
3915.0,3488,51401.251366
295.0,1095,51595.536376
2000.0,2876,52195.858367
1420.0,2096,52623.270366
1200.0,1974,52978.018368
5600.0,4360,53983.231367
1700.0,2151,54441.806366
2625.0,3260,55060.639367
1080.0,1466,55378.019366
6450.0,4862,56462.917367
6210.0,4149,57280.969365
1220.0,2126,57833.331365
1780.0,2569,58485.669366
4680.0,4671,59606.295366
3425.0,3341,60290.693367
1360.0,2411,60791.155366
1080.0,1640,61144.870366
355.0,1376,61455.177366
2705.0,2901,62111.983363
4125.0,3597,62946.526366
1120.0,2711,63584.850366
680.0,1597,63900.946367
2040.0,2723,64424.101365
4700.0,4697,65322.277368
2080.0,2343,65752.537367
2660.0,3100,66307.993366
5620.0,5433,67314.632364
1360.0,2383,67750.052368
2545.0,2553,68219.864364
4400.0,3874,68929.876366
3850.0,3826,69691.269367
5860.0,4278,70527.591367
6490.0,4428,71442.178365
5780.0,3987,72256.103367
4980.0,4511,73073.814366
1120.0,1814,73451.316366
7040.0,5740,74531.385366
