# {"t_start": 1587222566.439898, "env_id": "DemonAttackNoFrameskip-v4"} 
r,l,t
190.0,1216,146.40701
310.0,1465,440.582009
295.0,1267,682.296009
150.0,905,851.560178
205.0,1088,1069.834047
90.0,642,1206.799048
325.0,1236,1463.247046
250.0,1114,1663.545047
355.0,1307,1901.807046
325.0,1231,2129.836047
250.0,960,2303.097047
265.0,982,2485.708047
130.0,687,2604.745045
205.0,1087,2822.035048
160.0,1838,3150.431046
140.0,572,3250.964046
265.0,995,3431.779046
40.0,339,3495.071047
340.0,1562,4489.656045
1120.0,2049,4863.063045
1500.0,2045,5234.334046
480.0,1639,5524.685045
110.0,626,5638.353047
235.0,916,5810.801047
355.0,1937,6154.629046
150.0,666,6282.348047
265.0,1278,6518.772047
840.0,1895,6853.166046
110.0,563,6953.079047
325.0,1359,7197.239047
400.0,1200,7413.851047
1300.0,2636,7883.963048
310.0,1709,8191.404046
1340.0,2436,8626.111046
1640.0,2984,9168.210047
2040.0,3063,9710.912046
3775.0,4034,10442.809047
1420.0,2809,10939.349047
1960.0,2495,11391.036045
1880.0,2642,11869.521047
1540.0,2003,12222.395046
120.0,623,12339.698048
940.0,1924,12683.558048
1240.0,2160,13081.274364
370.0,1644,13374.318362
2630.0,2578,13840.284361
3240.0,2894,14363.466364
880.0,1804,14689.084364
660.0,1813,15013.683364
1640.0,2623,15483.863364
1580.0,2530,15935.084364
5910.0,4365,16720.424365
140.0,825,16865.089364
3290.0,3337,17470.763365
1920.0,2832,17979.218363
2560.0,3187,18556.514364
2970.0,3191,19125.922364
5050.0,4876,20001.553364
3800.0,4209,20759.125364
840.0,2138,21138.228362
1200.0,1790,21463.116363
660.0,1737,21770.466365
1600.0,2409,22204.333365
4085.0,3887,22907.411364
2040.0,2573,23368.029365
1160.0,1835,23693.320364
5830.0,4424,24487.501364
150.0,610,24596.347364
2575.0,2964,25128.476364
680.0,1692,25435.597363
2945.0,2640,25906.014365
3240.0,3038,26447.802365
2905.0,2879,26966.904363
1000.0,2070,27338.230364
205.0,886,27505.352365
1100.0,1675,27827.318365
1620.0,2247,28234.565364
325.0,1477,28496.189364
385.0,1857,28830.446365
2450.0,2843,29336.710367
5830.0,4569,30180.855365
540.0,1718,30496.746363
3260.0,3114,31056.986363
3375.0,3739,31733.468364
820.0,1739,32040.973364
2640.0,3211,32618.989365
2525.0,3369,33230.264364
2500.0,2745,33728.095364
520.0,1879,34070.638363
2040.0,2285,34477.929365
7265.0,5220,35428.617362
1400.0,2126,35841.086364
500.0,1451,36103.230365
110.0,339,36159.281364
3410.0,3276,36756.935364
295.0,1068,36960.582365
6350.0,3931,37680.307362
6760.0,4368,38467.757363
1160.0,2012,38831.544367
1800.0,2489,39310.856364
310.0,1745,39620.616364
3780.0,4222,40442.535365
2295.0,2829,40983.237364
1940.0,2763,41500.626364
2080.0,3248,42147.960364
1060.0,1980,42541.787364
355.0,1222,42790.559365
4030.0,3912,43519.015364
2095.0,3052,44075.161364
3500.0,3304,44662.468365
5295.0,4732,45549.622364
1700.0,2547,46010.442365
1280.0,2170,46408.337364
3595.0,3125,46998.235361
2375.0,3237,47597.723365
3175.0,3497,48221.547365
2960.0,3496,48900.086364
3655.0,3231,49569.848365
1660.0,2487,50058.924366
4310.0,4353,50955.748364
1080.0,1800,51283.744363
1100.0,1868,51623.626364
400.0,1736,51945.736365
1200.0,2463,52504.433372
3380.0,3257,53098.146364
2000.0,2284,53682.043363
385.0,1209,53937.237364
150.0,636,54062.773364
1300.0,2104,54501.961365
480.0,1890,54854.803373
150.0,670,54991.525365
1520.0,2188,55448.304363
4900.0,4590,56472.190363
2775.0,3213,57118.362365
1040.0,2081,57604.132365
1360.0,1705,58020.984365
1920.0,2921,58791.349364
1580.0,1977,59220.523364
5720.0,4273,60149.749365
880.0,1761,60519.767363
700.0,2045,60946.603364
1120.0,2210,61437.741364
620.0,1590,61765.070364
235.0,877,61982.879365
5630.0,4018,62923.781364
3290.0,3443,63720.798364
1360.0,1612,64025.095364
2080.0,2480,64497.229364
6835.0,5576,65562.773364
2040.0,2677,66046.038365
5640.0,3930,66760.230365
1520.0,2184,67171.187365
6200.0,4203,67935.262362
1320.0,2549,68409.844364
2650.0,3156,68984.584364
940.0,2446,69450.517365
980.0,1620,69801.418365
3310.0,3476,70456.605364
6060.0,4564,71413.747363
4440.0,4063,72245.935363
4200.0,3850,72936.543362
5920.0,4768,73866.359361
5470.0,4471,74721.844364
190.0,1233,74993.501365
