# {"t_start": 1587134256.6778595, "env_id": "PongNoFrameskip-v4"} 
r,l,t
-21.0,838,20.719003
-20.0,833,38.859004
-21.0,883,58.186002
-20.0,895,77.717004
-21.0,790,94.939003
-21.0,763,111.900003
-21.0,757,128.681003
-21.0,758,145.715002
-21.0,761,162.675004
-21.0,760,179.580003
-21.0,758,196.523005
-21.0,798,214.155003
-21.0,761,230.996002
-21.0,760,248.103004
-21.0,762,265.226003
-21.0,760,282.362002
-21.0,764,299.230002
-21.0,759,316.067003
-21.0,759,333.055003
-21.0,763,349.633003
-21.0,761,365.793002
-21.0,759,382.260002
-21.0,806,399.176003
-21.0,758,415.539004
-21.0,759,431.773002
-21.0,763,448.315002
-19.0,916,467.604003
-21.0,819,484.614002
-21.0,849,502.327003
-21.0,813,519.688003
-19.0,1064,541.871002
-21.0,851,559.726003
-20.0,835,577.488003
-20.0,991,598.066002
-18.0,1170,621.949003
-19.0,971,642.359004
-20.0,951,662.164002
-20.0,1069,683.962004
-20.0,1242,709.373002
-20.0,1108,732.044003
-21.0,1267,757.640002
-20.0,1229,781.830003
-17.0,1465,812.121006
-19.0,1489,841.573002
-14.0,1977,883.003002
-6.0,2389,930.032003
-11.0,1978,968.904003
-2.0,2621,1020.350003
-1.0,2625,1071.894002
-3.0,2756,1125.338003
-1.0,2946,1182.888002
-3.0,2774,1236.650003
1.0,3305,1300.572003
9.0,2862,1355.851002
9.0,2747,1408.914005
7.0,3006,1468.648002
12.0,2835,1523.534004
9.0,2993,1582.132003
16.0,1890,1619.361002
19.0,1759,1654.333003
19.0,1821,1690.631002
20.0,1743,1725.292002
19.0,1729,1759.479003
21.0,1694,1793.301003
20.0,1757,1828.165002
18.0,1800,1863.851002
20.0,1704,1897.870003
21.0,1689,1931.496002
17.0,1850,1968.122003
20.0,1727,2002.539003
19.0,1851,2039.428002
20.0,1742,2074.059002
19.0,1726,2108.181003
19.0,1839,2144.744002
20.0,1727,2179.031004
19.0,1799,2214.833003
20.0,1714,2249.111004
21.0,1643,2281.933002
19.0,1813,2317.699003
20.0,1750,2352.586003
19.0,1767,2387.484002
20.0,1750,2422.149002
20.0,1721,2456.026003
20.0,1664,2489.711002
20.0,1760,2524.422002
21.0,1687,2558.224002
21.0,1757,2593.011002
20.0,1747,2627.995004
21.0,1693,2661.493002
-16.0,1329,2688.299014
19.0,1921,2726.180003
18.0,1812,2762.069003
21.0,1689,2795.816002
20.0,1745,2830.477003
20.0,1749,2865.443002
20.0,1731,2899.769003
20.0,1749,2934.419002
20.0,1864,2971.973004
19.0,1987,3010.988005
20.0,1728,3045.394004
20.0,1807,3081.382004
21.0,1688,3114.973002
21.0,1696,3149.150003
21.0,1698,3182.482003
21.0,1743,3217.539002
20.0,1714,3251.196002
20.0,1666,3284.319003
20.0,1660,3317.255002
20.0,1661,3350.472002
21.0,1774,3385.772003
19.0,1821,3421.853003
19.0,1839,3458.322002
21.0,1769,3493.360002
20.0,1664,3526.760002
20.0,1744,3561.176005
21.0,1626,3593.611006
19.0,1811,3629.566002
20.0,1740,3664.387002
20.0,1773,3699.730002
20.0,1696,3733.807002
20.0,1656,3766.876003
21.0,1646,3799.512002
21.0,1647,3832.318006
20.0,1769,3867.888002
21.0,1647,3900.452002
21.0,1651,3933.600003
20.0,1773,3968.551002
21.0,1650,4001.067004
21.0,1649,4033.986003
20.0,1744,4068.549003
19.0,1789,4104.223003
19.0,1797,4139.653003
21.0,1652,4172.725004
21.0,1649,4205.719002
21.0,1693,4239.216002
20.0,1724,4273.654003
21.0,1693,4307.398002
21.0,1691,4341.358002
20.0,1716,4375.700002
21.0,1627,4408.345002
21.0,1649,4441.457003
21.0,1649,4474.281003
20.0,1744,4508.655004
19.0,1721,4543.289002
21.0,1648,4575.896002
21.0,1688,4609.453002
21.0,1686,4643.178002
21.0,1691,4676.756002
21.0,1644,4709.665001
21.0,1654,4742.500003
21.0,1652,4775.395002
21.0,1770,4810.694002
20.0,1741,4845.455002
21.0,1651,4878.013003
21.0,1644,4910.984002
21.0,1652,4944.123002
21.0,1648,4976.783002
21.0,1646,5009.852002
21.0,1653,5042.725003
21.0,1644,5075.229003
21.0,1654,5107.672003
20.0,1671,5140.894002
18.0,1869,5178.210005
21.0,1648,5210.992002
20.0,1742,5245.718003
20.0,1727,5280.225003
21.0,1650,5313.171002
21.0,1649,5345.937005
21.0,1687,5379.848002
20.0,1802,5415.670002
21.0,1648,5448.759002
21.0,1654,5481.772003
21.0,1642,5514.440002
21.0,1642,5547.448003
21.0,1653,5580.371003
21.0,1651,5613.326002
21.0,1647,5646.095002
21.0,1649,5678.895004
21.0,1654,5711.823002
21.0,1644,5744.588003
21.0,1647,5777.159003
21.0,1649,5810.188003
21.0,1649,5843.046002
20.0,1728,5877.534003
20.0,1661,5910.859002
21.0,1651,5943.715003
21.0,1644,5976.373002
21.0,1650,6009.468003
20.0,1746,6044.343003
21.0,1650,6077.293003
21.0,1649,6110.389003
19.0,1843,6147.181004
21.0,1652,6180.282005
20.0,1708,6214.071002
20.0,1721,6248.437002
