# {"t_start": 1587134256.62786, "env_id": "PongNoFrameskip-v4"} 
r,l,t
-20.0,945,23.637003
-20.0,902,43.487003
-21.0,850,61.718002
-20.0,1099,85.926002
-21.0,822,104.043003
-21.0,762,120.909002
-21.0,764,137.873002
-21.0,761,154.907002
-21.0,757,171.707002
-21.0,757,188.369002
-21.0,763,205.299002
-21.0,762,222.117003
-21.0,761,239.134002
-21.0,762,256.170002
-21.0,760,273.371002
-21.0,790,290.994002
-21.0,762,307.797003
-21.0,762,324.777002
-21.0,786,342.271001
-21.0,760,358.419001
-21.0,762,374.687001
-21.0,792,391.706002
-21.0,761,407.676002
-21.0,757,424.019002
-20.0,851,442.203002
-21.0,758,458.526002
-20.0,895,477.375004
-21.0,819,494.312002
-21.0,805,511.369001
-17.0,1335,539.499002
-20.0,849,557.168001
-21.0,882,575.920002
-21.0,850,593.306002
-20.0,932,612.573002
-20.0,897,631.294001
-20.0,920,650.412001
-19.0,1401,679.185002
-21.0,844,696.554003
-19.0,1052,718.128003
-17.0,1629,751.066002
-19.0,1570,782.283002
-12.0,1818,819.468003
-19.0,1438,849.056003
-11.0,2093,891.435003
-7.0,2229,935.400002
-8.0,2298,980.973003
-10.0,1960,1018.982002
-6.0,2616,1070.523002
-5.0,2818,1125.040002
-3.0,2775,1179.189002
-7.0,2638,1230.203002
-1.0,3754,1303.389002
11.0,2787,1356.997003
11.0,2643,1407.862001
-1.0,3475,1476.997002
11.0,2744,1530.130001
7.0,2655,1581.914002
12.0,2501,1631.195002
16.0,1968,1670.507001
20.0,1680,1703.934002
20.0,1712,1737.805001
20.0,1711,1771.718002
20.0,1706,1805.821003
20.0,1666,1838.828001
19.0,1819,1874.983002
19.0,1845,1911.915004
21.0,1692,1945.636003
20.0,1746,1980.199002
20.0,1661,2013.124002
18.0,1834,2049.732002
20.0,1760,2084.644002
20.0,1775,2119.766003
19.0,1805,2155.813003
18.0,1881,2193.426001
20.0,1702,2226.737004
20.0,1664,2260.080003
18.0,1842,2296.698002
21.0,1648,2329.460001
20.0,1697,2363.143003
20.0,1665,2395.998003
19.0,1895,2433.576001
20.0,1761,2468.514002
20.0,1745,2503.350002
20.0,1807,2539.314002
20.0,1696,2573.079002
19.0,1775,2608.616003
21.0,1752,2643.290002
1.0,2367,2690.884002
21.0,1698,2724.134001
18.0,1894,2761.826002
20.0,1661,2795.010002
20.0,1764,2830.036002
20.0,1727,2864.375002
19.0,1807,2900.443002
19.0,1779,2935.834002
20.0,1783,2971.453002
21.0,1695,3004.713003
21.0,1750,3039.658004
20.0,1782,3075.189002
20.0,1671,3108.430004
20.0,1817,3144.816003
20.0,1793,3180.134002
20.0,1683,3213.713002
20.0,1656,3246.955002
18.0,2022,3286.943002
19.0,1778,3321.686002
20.0,1730,3356.717003
19.0,1767,3391.450001
20.0,1731,3426.101003
20.0,1698,3459.612002
21.0,1649,3492.378001
21.0,1697,3526.446002
20.0,1721,3560.383002
21.0,1649,3593.274002
21.0,1691,3627.015002
21.0,1648,3659.849001
20.0,1707,3694.324002
20.0,1754,3729.174002
21.0,1648,3761.966002
19.0,1893,3799.710002
21.0,1651,3832.604002
21.0,1653,3865.702002
20.0,1730,3899.919002
21.0,1644,3932.933002
21.0,1649,3965.661002
21.0,1652,3998.280002
21.0,1646,4030.859003
20.0,1743,4065.532002
21.0,1770,4100.375003
20.0,1717,4134.553002
21.0,1650,4167.438004
20.0,1726,4202.211002
20.0,1730,4236.390003
21.0,1688,4269.912001
21.0,1689,4303.748002
21.0,1649,4336.790002
21.0,1649,4369.717002
21.0,1645,4402.686002
21.0,1649,4435.607002
21.0,1650,4468.544001
21.0,1652,4501.429003
21.0,1646,4534.577002
21.0,1648,4567.216002
20.0,1743,4601.882003
20.0,1700,4635.746001
21.0,1643,4668.401002
19.0,1807,4704.500002
21.0,1647,4736.960002
21.0,1648,4770.090003
19.0,1848,4806.960002
21.0,1648,4839.686002
19.0,1879,4876.821002
21.0,1691,4910.807002
21.0,1832,4947.412001
21.0,1690,4981.095004
21.0,1644,5014.063002
21.0,1692,5047.568002
20.0,1771,5083.061002
21.0,1645,5115.259002
21.0,1648,5147.980002
20.0,1664,5181.264002
20.0,1662,5214.054001
21.0,1648,5247.079003
21.0,1653,5279.887002
21.0,1653,5312.974002
21.0,1650,5345.722001
21.0,1651,5378.879002
18.0,1820,5415.190004
21.0,1643,5447.996003
20.0,1806,5484.317004
21.0,1654,5517.101002
21.0,1650,5550.531002
20.0,1698,5584.272002
21.0,1644,5616.892003
21.0,1647,5649.811002
21.0,1647,5682.537001
18.0,1780,5718.003001
21.0,1646,5750.880002
21.0,1653,5783.573002
21.0,1649,5816.128004
21.0,1648,5849.348002
20.0,1722,5883.628002
21.0,1646,5916.478002
20.0,1712,5951.015002
19.0,1757,5985.705002
20.0,1726,6020.201003
20.0,1760,6055.384002
19.0,1732,6090.074002
20.0,1730,6124.262001
20.0,1726,6159.229002
21.0,1654,6192.035002
21.0,1643,6224.627001
21.0,1646,6257.795002
