# {"t_start": 1587134258.4988725, "env_id": "PongNoFrameskip-v4"} 
r,l,t
-21.0,844,19.090989
-20.0,836,37.27599
-21.0,786,54.034989
-20.0,1200,80.93499
-21.0,846,99.609989
-21.0,763,116.584989
-21.0,761,133.51499
-21.0,791,151.405991
-21.0,760,168.018993
-21.0,847,186.84599
-21.0,759,203.720989
-21.0,785,221.03299
-21.0,758,238.016989
-21.0,761,255.02499
-21.0,758,272.174989
-21.0,758,288.98399
-21.0,788,306.591989
-21.0,761,323.430989
-21.0,763,340.301989
-20.0,944,360.587989
-21.0,758,376.717989
-21.0,759,392.91099
-21.0,820,410.324992
-21.0,758,426.62599
-19.0,1013,448.362989
-21.0,758,464.29899
-18.0,1026,485.741989
-20.0,871,504.160994
-21.0,820,521.399992
-21.0,792,538.121989
-21.0,884,556.442989
-21.0,808,573.651995
-20.0,1011,594.56899
-18.0,1299,621.31099
-21.0,933,640.970994
-20.0,975,661.139988
-19.0,1133,684.392991
-17.0,1262,709.806989
-19.0,1110,732.73199
-19.0,1205,757.097989
-18.0,1356,783.91599
-11.0,1921,823.366989
-11.0,1889,862.676994
-12.0,2018,902.517989
-8.0,2215,946.156991
-11.0,1880,983.386993
-6.0,2277,1027.93299
-8.0,2069,1068.406989
-7.0,2432,1115.710994
-3.0,2907,1172.159991
3.0,2734,1225.21999
-5.0,2983,1283.148989
7.0,3047,1341.62899
9.0,2913,1398.077989
6.0,3140,1460.305989
12.0,2974,1518.012991
6.0,3131,1579.251989
18.0,1846,1615.600997
18.0,1959,1654.658995
19.0,1711,1688.70399
20.0,1716,1722.789991
20.0,1746,1757.245991
17.0,1918,1795.515989
19.0,1786,1831.035993
19.0,1744,1865.449989
19.0,1877,1903.247989
19.0,1864,1940.228989
19.0,1901,1977.94499
20.0,1746,2012.755989
20.0,1703,2046.533989
20.0,1746,2081.29199
20.0,1829,2117.27399
21.0,1689,2151.079991
17.0,1968,2190.48899
20.0,1803,2226.094989
20.0,1730,2260.769994
19.0,1720,2294.621989
20.0,1660,2327.77299
20.0,1665,2360.70199
20.0,1758,2395.333996
20.0,1658,2428.454989
20.0,1720,2462.426989
19.0,1813,2498.79199
20.0,1741,2533.262989
20.0,1809,2569.452994
21.0,1699,2603.164989
20.0,1665,2636.392988
21.0,1750,2671.042989
2.0,2379,2717.810997
20.0,1873,2755.611989
20.0,1746,2790.172992
19.0,1730,2824.230993
20.0,1731,2858.850994
21.0,1691,2892.45299
20.0,1664,2925.49299
20.0,1738,2960.11999
20.0,1881,2997.754994
20.0,1725,3031.79999
20.0,1882,3069.340991
19.0,1704,3103.041996
21.0,1692,3136.912989
20.0,1742,3171.593989
21.0,1693,3205.54899
20.0,1661,3238.373989
20.0,1664,3271.20799
21.0,1626,3303.55899
19.0,1916,3341.682993
20.0,1661,3374.66899
21.0,1699,3408.57399
20.0,1660,3441.348992
20.0,1733,3475.83199
21.0,1631,3508.32699
19.0,1806,3544.45099
19.0,1755,3579.322989
20.0,1662,3612.30299
21.0,1652,3645.423993
21.0,1649,3678.381992
20.0,1742,3713.417989
20.0,1721,3747.699989
21.0,1644,3780.28099
20.0,1665,3813.670991
21.0,1652,3846.394991
21.0,1644,3879.105989
20.0,1707,3913.23499
20.0,1713,3947.151992
21.0,1653,3979.888994
20.0,1745,4014.816992
20.0,1713,4048.716991
18.0,1891,4086.12099
16.0,2074,4127.32999
19.0,1850,4164.292989
21.0,1651,4197.207992
21.0,1648,4230.016989
21.0,1647,4262.878989
20.0,1745,4297.621991
21.0,1644,4330.84799
21.0,1652,4363.928991
18.0,2003,4403.868989
21.0,1690,4437.577989
21.0,1649,4470.56599
21.0,1654,4503.389991
20.0,1666,4536.71999
20.0,1713,4570.812994
20.0,1668,4604.021989
21.0,1649,4636.704993
21.0,1654,4669.78199
21.0,1688,4703.556989
21.0,1692,4736.81699
21.0,1649,4769.995991
20.0,1728,4804.35199
21.0,1646,4836.926992
21.0,1690,4870.733989
20.0,1742,4905.259989
21.0,1650,4938.371992
21.0,1647,4971.410989
20.0,1703,5005.177989
19.0,1770,5040.550993
19.0,1834,5077.320992
21.0,1646,5109.800989
20.0,1665,5142.532989
19.0,1767,5177.854989
21.0,1649,5210.614988
21.0,1649,5243.403992
21.0,1643,5275.939989
21.0,1644,5309.058988
21.0,1649,5341.800994
20.0,1823,5378.448001
21.0,1650,5411.235991
21.0,1650,5444.201988
19.0,1763,5479.427993
21.0,1649,5512.27899
21.0,1691,5546.413989
21.0,1653,5579.264994
21.0,1645,5612.007989
20.0,1719,5646.369988
21.0,1647,5679.212989
20.0,1773,5714.09899
21.0,1648,5747.065993
21.0,1648,5779.880989
19.0,1754,5814.658993
21.0,1651,5847.927994
21.0,1645,5880.722989
21.0,1654,5913.612993
20.0,1689,5947.457993
19.0,1842,5984.155989
21.0,1648,6017.042991
19.0,1737,6051.608989
21.0,1646,6084.596989
21.0,1654,6117.698989
21.0,1650,6150.811994
21.0,1653,6183.528995
21.0,1646,6216.444989
21.0,1654,6249.345998
