# {"t_start": 1587134257.7878597, "env_id": "PongNoFrameskip-v4"} 
r,l,t
-20.0,872,20.477005
-20.0,836,38.680002
-20.0,896,58.422002
-20.0,841,76.449003
-21.0,819,94.490002
-21.0,761,111.419002
-21.0,760,128.253002
-21.0,763,145.355002
-21.0,760,162.224004
-21.0,764,179.218002
-21.0,781,196.673006
-21.0,761,213.503002
-21.0,761,230.343013
-21.0,761,247.465003
-21.0,758,264.501002
-21.0,761,281.667002
-21.0,762,298.526001
-21.0,761,315.382002
-21.0,910,335.483002
-21.0,761,351.943002
-21.0,764,368.116003
-21.0,760,384.430002
-21.0,824,402.020005
-21.0,760,418.429002
-21.0,762,434.642002
-21.0,758,451.002002
-20.0,900,470.054006
-21.0,820,487.333002
-20.0,900,506.303002
-16.0,1363,534.599002
-21.0,869,552.721003
-20.0,990,573.888007
-20.0,925,593.009002
-20.0,954,612.789006
-21.0,972,633.018002
-21.0,970,653.092007
-18.0,1189,677.506006
-19.0,1206,702.015003
-18.0,1311,728.871004
-19.0,1081,750.894002
-19.0,1691,784.538005
-8.0,2010,825.789006
-18.0,1586,859.143003
-14.0,1845,895.483006
-11.0,2058,935.998003
-15.0,1905,973.778003
-4.0,2540,1023.567008
-6.0,2435,1071.340002
-7.0,2576,1121.185003
-7.0,2492,1169.774003
-2.0,3167,1230.995004
-5.0,3242,1294.050005
-7.0,2748,1347.002003
-4.0,3339,1411.961001
12.0,2736,1466.021001
7.0,2989,1524.092002
10.0,2772,1578.133005
17.0,2035,1618.394003
19.0,1743,1652.854007
20.0,1663,1686.003002
20.0,1692,1719.516004
20.0,1667,1752.816005
20.0,1740,1787.224002
19.0,1838,1823.934001
20.0,1728,1858.120007
20.0,1660,1891.365002
20.0,1751,1926.171002
19.0,1817,1962.476002
20.0,1746,1996.897002
20.0,1659,2030.220002
20.0,1805,2065.862013
20.0,1701,2099.680002
20.0,1690,2133.275002
20.0,1660,2166.151002
15.0,2149,2208.957003
20.0,1666,2242.066007
20.0,1781,2277.454002
20.0,1766,2312.742002
20.0,1690,2346.062002
20.0,1698,2379.936004
18.0,1879,2417.033003
20.0,1810,2452.790003
21.0,1693,2486.681002
20.0,1751,2521.542006
19.0,1758,2556.644002
19.0,1849,2593.473002
19.0,1899,2631.346008
20.0,1783,2666.652005
-20.0,946,2684.867011
20.0,1667,2717.713003
19.0,1898,2756.013003
19.0,1753,2790.777004
19.0,1806,2826.910002
20.0,1664,2859.981002
19.0,1863,2897.279002
20.0,1807,2933.098002
21.0,1692,2967.089002
21.0,1693,3000.270007
20.0,1801,3036.082002
20.0,1752,3070.707002
21.0,1687,3104.245002
21.0,1687,3137.941002
18.0,1832,3174.647002
20.0,1721,3209.095006
20.0,1725,3243.350008
20.0,1668,3276.219002
19.0,1697,3309.615002
20.0,1663,3342.833003
19.0,1797,3378.707002
19.0,1803,3414.974001
20.0,1670,3447.990009
21.0,1651,3480.389008
21.0,1646,3513.115003
21.0,1703,3547.101002
21.0,1687,3580.705002
21.0,1650,3613.422002
21.0,1652,3646.594006
21.0,1652,3679.558003
21.0,1654,3712.750005
20.0,1693,3746.229004
21.0,1648,3778.989005
20.0,1709,3813.281003
20.0,1734,3847.800002
20.0,1704,3881.776002
20.0,1747,3916.715004
20.0,1722,3950.914005
20.0,1776,3985.990002
21.0,1646,4018.586001
21.0,1650,4051.527004
19.0,1742,4085.966002
21.0,1652,4118.702002
21.0,1651,4151.727006
20.0,1773,4187.039003
19.0,1884,4224.572001
20.0,1773,4259.856002
21.0,1652,4292.872004
19.0,1760,4328.208006
21.0,1646,4361.311
21.0,1687,4395.077003
21.0,1644,4427.911002
20.0,1745,4462.988003
21.0,1645,4495.415003
21.0,1648,4528.422002
21.0,1650,4561.371002
21.0,1647,4593.920003
21.0,1648,4626.630002
20.0,1790,4662.538005
18.0,1783,4697.682002
21.0,1692,4731.706002
20.0,1738,4766.159002
21.0,1652,4799.092009
21.0,1652,4831.921004
17.0,1785,4867.246006
20.0,1770,4902.719002
21.0,1651,4935.503003
21.0,1651,4968.479003
17.0,1867,5005.757008
19.0,1891,5043.839002
21.0,1653,5076.628006
21.0,1651,5109.053003
21.0,1648,5141.780003
20.0,1657,5174.534002
20.0,1707,5208.567003
20.0,1739,5243.277002
21.0,1654,5276.079011
21.0,1644,5309.235003
21.0,1648,5341.975008
21.0,1651,5375.027005
21.0,1655,5408.031004
21.0,1650,5441.212002
20.0,1705,5474.976002
21.0,1650,5508.068008
21.0,1650,5541.342005
18.0,1905,5579.081002
21.0,1650,5612.044002
21.0,1648,5644.810005
20.0,1720,5679.205002
19.0,1844,5715.795007
21.0,1650,5748.762002
20.0,1666,5781.719004
21.0,1648,5814.310007
21.0,1651,5847.533003
21.0,1654,5880.583006
21.0,1648,5913.402006
20.0,1724,5947.927002
21.0,1649,5980.873004
21.0,1643,6013.571002
19.0,2013,6053.763002
21.0,1654,6087.008004
21.0,1647,6119.899002
20.0,1730,6154.348005
21.0,1647,6187.308002
20.0,1725,6221.518002
21.0,1651,6254.478009
