# {"t_start": 1587134256.6758595, "env_id": "PongNoFrameskip-v4"} 
r,l,t
-20.0,862,21.330002
-21.0,901,41.335002
-20.0,1007,63.399002
-21.0,808,80.712003
-20.0,1080,104.884004
-21.0,762,121.689002
-21.0,764,138.718002
-21.0,758,155.659003
-21.0,758,172.478003
-21.0,823,190.648003
-20.0,858,209.805001
-20.0,926,229.957003
-20.0,891,250.002003
-21.0,759,267.014002
-21.0,762,284.169002
-21.0,759,301.020004
-21.0,760,317.936003
-20.0,894,337.757002
-21.0,761,354.075003
-21.0,763,370.346004
-21.0,757,386.541003
-21.0,896,405.349003
-21.0,758,421.799003
-21.0,761,438.256001
-21.0,763,454.685004
-21.0,897,473.459002
-20.0,842,491.152002
-21.0,806,508.330003
-21.0,843,525.924003
-19.0,1049,547.989002
-18.0,1204,573.064003
-21.0,907,591.791004
-17.0,1311,618.935004
-21.0,898,637.957003
-19.0,992,658.502003
-20.0,1050,680.023003
-20.0,1273,706.143003
-20.0,1153,729.378002
-19.0,1245,754.893002
-14.0,1716,789.133003
-19.0,1374,816.991002
-5.0,2285,864.726003
-17.0,1690,897.938003
-7.0,2083,939.076001
-16.0,1693,972.543003
-5.0,2326,1017.809002
-1.0,2639,1069.777002
1.0,2931,1126.824004
-4.0,2797,1181.163002
-1.0,3145,1242.251005
-5.0,2613,1292.781002
4.0,2874,1348.318002
9.0,2724,1400.912002
10.0,2842,1457.259002
12.0,2613,1508.163002
8.0,2942,1565.342002
16.0,2125,1607.510003
17.0,2362,1654.057002
19.0,1756,1688.964003
20.0,1726,1723.266009
20.0,1660,1756.214002
20.0,1687,1789.660003
20.0,1662,1822.721003
20.0,1669,1855.795002
20.0,1692,1889.578003
19.0,1808,1925.812002
20.0,1747,1960.331002
20.0,1752,1995.318003
20.0,1745,2030.042003
20.0,1727,2064.275003
20.0,1727,2098.437002
20.0,1786,2134.114002
19.0,1843,2170.818003
20.0,1715,2204.996002
20.0,1704,2238.560003
20.0,1853,2275.558002
20.0,1807,2311.663003
20.0,1902,2349.385002
20.0,1658,2382.277002
20.0,1661,2414.952004
20.0,1768,2450.042003
20.0,1782,2485.547002
20.0,1859,2522.527002
20.0,1734,2557.074003
19.0,1835,2593.737002
19.0,1832,2630.456002
21.0,1709,2664.137004
-17.0,1148,2686.504002
21.0,1686,2719.822003
20.0,1787,2755.323002
19.0,1779,2790.632003
15.0,2049,2832.218003
20.0,1659,2865.179003
20.0,1661,2898.136002
21.0,1773,2933.260002
20.0,1836,2970.191004
19.0,1800,3005.640004
19.0,1847,3042.496002
21.0,1698,3076.420004
21.0,1649,3109.217003
21.0,1694,3142.787002
19.0,1758,3177.711002
20.0,1667,3211.072002
21.0,1696,3244.805002
20.0,1667,3277.685002
20.0,1727,3311.642002
21.0,1694,3345.550002
20.0,1689,3378.907002
19.0,1826,3415.731004
20.0,1667,3448.527003
19.0,1744,3483.106002
20.0,1657,3516.203002
20.0,1691,3549.689002
21.0,1648,3582.560002
21.0,1654,3615.541002
20.0,1744,3650.249002
21.0,1653,3683.535003
21.0,1654,3716.593002
21.0,1650,3749.317002
19.0,1779,3784.875003
21.0,1647,3817.788002
19.0,1909,3855.886002
20.0,1788,3891.404004
21.0,1649,3924.453003
21.0,1648,3957.101003
21.0,1643,3989.393003
21.0,1649,4022.086004
14.0,2040,4062.863005
18.0,1882,4099.761004
20.0,1712,4133.943003
21.0,1652,4166.871003
20.0,1712,4201.202003
19.0,1852,4237.963002
17.0,2084,4279.530003
21.0,1643,4312.569004
18.0,1920,4350.977004
20.0,1770,4386.446002
21.0,1648,4419.343003
21.0,1692,4453.349003
20.0,1716,4487.389003
19.0,1831,4524.074003
21.0,1649,4556.784002
20.0,1702,4590.586003
20.0,1707,4624.594002
20.0,1665,4657.733004
21.0,1649,4690.475002
21.0,1654,4723.650002
21.0,1653,4756.513003
21.0,1655,4789.469003
21.0,1650,4822.342003
21.0,1650,4855.423003
21.0,1653,4887.827002
21.0,1687,4921.453002
21.0,1647,4954.551002
19.0,1839,4991.148003
21.0,1808,5027.058002
21.0,1693,5060.946002
20.0,1770,5096.185001
21.0,1650,5128.622002
21.0,1648,5161.561002
20.0,1664,5194.379003
21.0,1651,5227.218004
21.0,1645,5260.181003
20.0,1742,5294.861002
20.0,1728,5329.508003
21.0,1713,5363.658002
20.0,1730,5398.190002
21.0,1650,5431.342002
21.0,1648,5464.133
20.0,1745,5498.954003
21.0,1655,5531.879002
18.0,1881,5569.718004
19.0,1825,5605.932002
21.0,1649,5638.853005
21.0,1646,5671.797004
21.0,1648,5704.417005
21.0,1654,5737.430002
21.0,1642,5770.225002
20.0,1739,5804.559002
21.0,1650,5837.291002
20.0,1733,5872.282002
21.0,1651,5905.345002
20.0,1739,5939.857001
21.0,1647,5972.792003
21.0,1648,6005.457001
21.0,1673,6039.103004
21.0,1650,6071.965003
21.0,1652,6105.039004
20.0,1828,6141.419004
21.0,1666,6174.841002
21.0,1650,6207.667007
21.0,1654,6240.678002
21.0,1643,6273.453003
