# {"t_start": 1587134257.4888601, "env_id": "PongNoFrameskip-v4"} 
r,l,t
-21.0,941,22.612002
-21.0,821,40.448003
-21.0,971,61.667003
-20.0,905,81.268002
-21.0,764,97.979003
-21.0,761,115.000002
-21.0,824,133.172002
-21.0,760,150.189002
-21.0,763,167.079002
-21.0,760,184.087003
-21.0,760,200.918004
-20.0,838,219.492002
-21.0,787,236.960004
-21.0,763,254.059003
-21.0,758,271.193002
-21.0,759,288.143002
-21.0,764,305.092002
-21.0,763,322.090002
-21.0,757,338.907001
-21.0,759,354.990002
-21.0,757,371.242002
-20.0,863,389.669003
-21.0,763,405.807003
-21.0,762,422.258004
-21.0,757,438.698002
-20.0,898,457.950001
-21.0,824,475.158002
-19.0,1099,498.286002
-21.0,868,516.388003
-19.0,945,536.192002
-21.0,850,553.836002
-20.0,959,574.321004
-20.0,853,591.811002
-21.0,837,609.248002
-21.0,1015,630.288002
-19.0,1075,652.607004
-18.0,1402,681.423002
-21.0,875,699.251002
-17.0,1256,724.740002
-18.0,1192,749.266001
-15.0,1724,783.567001
-21.0,1436,813.082002
-11.0,2045,855.422004
-21.0,1357,882.795002
-11.0,1898,920.095002
-5.0,2449,968.296002
-2.0,2649,1020.389004
-4.0,2598,1071.326001
-4.0,2929,1128.403001
-5.0,2723,1181.195004
4.0,2907,1237.570003
-1.0,3258,1300.707
8.0,2950,1357.695002
10.0,2796,1411.912003
13.0,2536,1462.139003
7.0,3041,1521.121004
9.0,2971,1579.181003
15.0,2205,1622.721002
20.0,1668,1656.052001
20.0,1664,1688.991001
20.0,1748,1723.705003
19.0,1749,1758.335003
20.0,1688,1792.092002
20.0,1669,1825.278001
20.0,1664,1858.071002
20.0,1661,1891.336002
20.0,1668,1924.635001
21.0,1688,1957.899002
20.0,1749,1992.782002
20.0,1747,2027.442002
19.0,1844,2064.390002
20.0,1744,2098.762002
20.0,1750,2133.778001
20.0,1788,2169.203002
21.0,1689,2203.050001
20.0,1746,2237.283002
20.0,1721,2272.011001
19.0,1786,2307.211002
20.0,1666,2340.611003
20.0,1855,2377.118002
20.0,1717,2411.075002
20.0,1726,2445.119001
21.0,1648,2477.988003
19.0,1802,2513.909
19.0,1881,2551.769001
20.0,1725,2585.680002
20.0,1777,2621.402001
21.0,1759,2656.119002
-12.0,1527,2686.500002
19.0,1796,2722.084002
20.0,1728,2756.433002
19.0,1725,2790.421002
20.0,1758,2825.319004
19.0,1925,2864.167002
19.0,1872,2901.554001
21.0,1690,2935.207002
20.0,1805,2971.462002
19.0,1721,3005.240003
20.0,1733,3039.593003
20.0,1808,3075.850004
20.0,1784,3111.111003
20.0,1782,3147.040003
20.0,1730,3180.888001
20.0,1661,3214.151002
20.0,1661,3247.326001
20.0,1663,3280.125001
21.0,1725,3314.278003
21.0,1699,3348.338002
20.0,1772,3383.243001
21.0,1649,3416.379002
20.0,1750,3450.824002
19.0,1905,3488.655002
20.0,1724,3523.109005
19.0,1759,3557.965
21.0,1649,3590.682001
21.0,1648,3623.743002
21.0,1650,3656.628001
21.0,1650,3689.703003
19.0,1771,3725.159002
20.0,1770,3760.234003
20.0,1695,3794.154003
20.0,1711,3828.188003
21.0,1625,3860.534002
20.0,1699,3894.534002
20.0,1773,3929.841002
21.0,1649,3962.570003
21.0,1648,3995.281001
21.0,1648,4027.719003
18.0,1855,4064.671002
20.0,1912,4102.566002
19.0,1810,4138.323002
18.0,1824,4174.888002
21.0,1646,4207.596001
20.0,1702,4241.613002
21.0,1647,4274.364002
21.0,1651,4307.245002
20.0,1823,4344.138002
20.0,1739,4378.932003
19.0,1872,4416.272002
21.0,1651,4449.314002
21.0,1654,4482.424001
20.0,1770,4517.481002
21.0,1648,4550.502002
19.0,1851,4587.070004
21.0,1694,4620.781005
21.0,1687,4654.354004
21.0,1693,4687.888004
21.0,1654,4721.152002
21.0,1643,4754.007002
21.0,1695,4787.673002
21.0,1652,4820.556001
21.0,1646,4853.533001
21.0,1765,4888.344003
21.0,1651,4921.187002
21.0,1649,4954.332001
20.0,1740,4988.809002
21.0,1654,5022.142001
21.0,1691,5055.583001
21.0,1644,5088.306003
21.0,1653,5120.936002
21.0,1655,5153.732002
21.0,1652,5186.478002
20.0,1718,5220.823002
20.0,1703,5254.772002
21.0,1650,5287.689002
21.0,1644,5320.637002
19.0,1815,5356.532002
19.0,1771,5392.335003
20.0,1658,5425.419003
21.0,1653,5458.500003
20.0,1847,5495.115001
19.0,1834,5531.771002
21.0,1687,5565.390003
21.0,1645,5598.168002
21.0,1690,5632.044002
21.0,1649,5664.904001
21.0,1655,5697.769003
21.0,1642,5730.365002
21.0,1647,5762.984002
21.0,1655,5795.966003
19.0,1844,5832.579003
21.0,1650,5865.762002
21.0,1645,5898.869002
21.0,1679,5932.263
21.0,1649,5965.121003
21.0,1649,5998.003002
21.0,1646,6030.844002
21.0,1648,6063.796002
21.0,1649,6096.924003
21.0,1649,6129.768004
21.0,1653,6162.914003
20.0,1711,6196.988003
21.0,1647,6229.712001
21.0,1650,6262.679005
