# {"t_start": 1587134256.6768599, "env_id": "PongNoFrameskip-v4"} 
r,l,t
-21.0,761,18.582002
-21.0,802,36.143002
-21.0,912,56.113003
-21.0,782,73.198002
-21.0,760,90.251003
-21.0,763,107.343002
-21.0,760,124.136004
-21.0,764,141.149005
-21.0,757,158.159002
-21.0,764,175.050002
-21.0,758,192.003002
-21.0,763,208.975002
-21.0,761,225.777003
-21.0,759,242.979002
-21.0,763,259.970003
-21.0,758,277.085002
-21.0,757,293.967002
-21.0,763,310.780002
-21.0,763,327.769001
-21.0,762,344.389002
-21.0,758,360.705002
-21.0,763,376.806002
-21.0,759,393.105004
-21.0,790,409.718002
-21.0,758,425.977003
-21.0,851,444.337002
-21.0,760,460.696003
-21.0,762,476.613003
-20.0,837,493.892002
-21.0,1118,517.614002
-20.0,918,536.725005
-18.0,1037,558.539002
-19.0,1241,584.517007
-20.0,912,603.419003
-20.0,913,622.276002
-21.0,853,640.167002
-19.0,1022,661.361002
-17.0,1361,689.565002
-19.0,1159,712.923003
-17.0,1358,740.551002
-19.0,1437,769.602002
-20.0,1190,793.560002
-20.0,1418,822.483002
-18.0,1699,857.891002
-12.0,1869,894.834002
-6.0,2340,941.213002
-5.0,2519,990.871002
-8.0,2307,1035.723002
-4.0,2643,1087.576002
-8.0,2318,1132.713002
-5.0,2634,1184.106002
1.0,3324,1248.459001
1.0,3360,1313.698002
7.0,2931,1370.207003
11.0,2594,1421.196002
3.0,3435,1488.340002
9.0,2595,1538.442002
14.0,2585,1589.376002
15.0,2261,1633.768004
18.0,1867,1671.072002
19.0,1789,1706.761002
21.0,1694,1740.219002
20.0,1664,1773.255002
19.0,1754,1808.127002
20.0,1671,1841.339002
19.0,1767,1876.519002
19.0,1764,1911.661002
20.0,1706,1945.781002
20.0,1701,1979.278002
20.0,1803,2015.254004
18.0,1901,2053.291003
20.0,1764,2088.055002
20.0,1701,2121.938002
21.0,1691,2155.339002
20.0,1742,2189.957004
20.0,1702,2223.731002
20.0,1667,2257.031003
20.0,1664,2290.217002
20.0,1665,2323.354002
20.0,1789,2358.641003
20.0,1688,2392.304002
21.0,1648,2424.902002
20.0,1748,2459.515003
20.0,1746,2494.515002
21.0,1771,2529.798002
18.0,1960,2568.610002
20.0,1865,2605.809001
20.0,1659,2638.868002
-1.0,2367,2684.978003
20.0,1659,2717.701001
20.0,1770,2753.038002
17.0,1817,2789.299002
20.0,1730,2823.630002
20.0,1721,2858.121002
19.0,1882,2896.000002
20.0,1728,2930.315002
21.0,1694,2964.001002
20.0,1727,2998.414002
19.0,1902,3036.075002
19.0,1825,3072.556002
20.0,1706,3106.558002
21.0,1694,3140.215002
20.0,1808,3176.392005
20.0,1726,3210.868002
20.0,1690,3244.364002
21.0,1632,3276.497002
19.0,1839,3312.998002
21.0,1695,3347.009003
20.0,1776,3382.228002
21.0,1650,3415.204002
21.0,1693,3448.650002
20.0,1806,3484.605002
20.0,1697,3518.373002
21.0,1692,3551.926003
19.0,1754,3587.010002
20.0,1659,3619.987002
21.0,1649,3652.957004
19.0,1717,3687.429003
21.0,1644,3720.176002
21.0,1622,3752.389002
20.0,1786,3787.942002
21.0,1754,3823.100002
21.0,1651,3856.020002
20.0,1714,3889.855002
21.0,1649,3922.843002
21.0,1652,3955.698002
21.0,1649,3988.273002
16.0,2031,4028.658002
19.0,1883,4066.089002
20.0,1774,4101.136003
19.0,2009,4141.139002
19.0,1787,4176.862002
21.0,1649,4209.741003
19.0,1792,4245.435001
21.0,1654,4278.377001
21.0,1649,4311.293002
21.0,1687,4345.351002
21.0,1651,4378.101002
21.0,1652,4411.236002
21.0,1651,4444.450001
21.0,1649,4477.208004
20.0,1668,4510.334002
18.0,1826,4546.877002
21.0,1649,4579.352002
21.0,1648,4612.421002
21.0,1651,4645.168002
21.0,1650,4678.024002
21.0,1690,4711.897002
21.0,1650,4744.609002
20.0,1801,4780.612002
21.0,1648,4813.567002
18.0,1816,4849.635002
19.0,1753,4884.397002
21.0,1643,4916.832002
21.0,1653,4950.208002
21.0,1648,4983.103002
20.0,1720,5017.290002
18.0,1936,5055.796002
21.0,1650,5088.637002
21.0,1654,5121.234004
21.0,1647,5153.939002
19.0,1759,5189.007002
21.0,1644,5221.788002
21.0,1648,5254.501001
21.0,1691,5288.220003
21.0,1652,5321.336002
21.0,1651,5354.265002
20.0,1730,5388.896003
21.0,1649,5421.946002
21.0,1651,5454.853002
17.0,1770,5490.116003
20.0,1769,5525.314002
21.0,1650,5558.530005
21.0,1653,5591.390002
21.0,1652,5624.313002
21.0,1652,5657.177001
19.0,1795,5692.891002
21.0,1645,5725.688003
18.0,1955,5764.435004
21.0,1649,5797.325002
21.0,1652,5830.102002
21.0,1649,5863.117002
20.0,1740,5897.976002
21.0,1651,5930.837002
21.0,1651,5963.739002
21.0,1644,5996.602003
21.0,1648,6029.662003
21.0,1652,6062.687002
20.0,1716,6096.953002
19.0,1831,6133.360003
21.0,1649,6166.487002
21.0,1651,6199.574003
21.0,1647,6232.260002
21.0,1648,6265.203002
