# {"t_start": 1587134256.7258594, "env_id": "PongNoFrameskip-v4"} 
r,l,t
-21.0,762,18.626006
-21.0,779,35.471006
-19.0,1101,60.351003
-21.0,881,79.470007
-20.0,984,101.206002
-21.0,759,118.126003
-21.0,764,135.116003
-21.0,764,152.139004
-21.0,763,169.009002
-21.0,761,186.057002
-21.0,764,203.021003
-21.0,757,219.529006
-21.0,760,236.288003
-21.0,760,253.466004
-21.0,764,270.603002
-21.0,760,287.640002
-21.0,762,304.615002
-21.0,763,321.581004
-21.0,759,338.442006
-21.0,761,354.785002
-21.0,762,371.134003
-21.0,763,387.359002
-20.0,837,404.767003
-21.0,762,421.330002
-21.0,757,437.731004
-21.0,758,454.065003
-21.0,790,470.665002
-20.0,913,489.858004
-20.0,899,508.984025
-20.0,1123,532.219002
-21.0,910,551.389003
-20.0,864,569.616003
-21.0,789,586.196002
-21.0,781,601.948004
-21.0,911,620.779002
-21.0,819,638.332003
-19.0,1032,659.489003
-20.0,980,679.600003
-21.0,1121,702.298003
-18.0,1409,731.293002
-17.0,1370,759.166003
-18.0,1242,783.666001
-12.0,1842,821.486002
-21.0,1553,853.600003
-11.0,1884,891.336003
-8.0,2042,931.823003
-16.0,1798,966.965003
-8.0,2099,1008.286007
-5.0,2587,1059.055003
-4.0,2621,1110.271003
-7.0,2645,1161.599003
1.0,2899,1217.831004
-3.0,3117,1278.016002
-3.0,3395,1343.638008
11.0,2554,1393.097003
1.0,3779,1467.794003
10.0,3083,1527.543002
15.0,2415,1574.702002
18.0,1836,1610.904002
18.0,2036,1651.153003
20.0,1666,1684.500003
19.0,1720,1718.579008
21.0,1691,1752.177004
18.0,2063,1793.496003
20.0,1744,1827.966008
20.0,1663,1860.959003
20.0,1666,1894.439003
20.0,1664,1927.403003
20.0,1739,1961.892003
21.0,1649,1994.648005
20.0,1745,2029.329006
18.0,1932,2067.787007
20.0,1666,2100.962004
20.0,1660,2133.816002
20.0,1665,2166.843003
19.0,1797,2202.887005
17.0,1862,2239.620003
20.0,1700,2273.773002
19.0,1737,2308.066007
21.0,1625,2340.488002
19.0,1814,2376.329013
20.0,1720,2410.352004
20.0,1693,2443.808005
20.0,1726,2478.041008
21.0,1706,2512.178002
21.0,1697,2545.986002
20.0,1669,2579.203004
20.0,1669,2612.571003
20.0,1721,2646.496014
1.0,2445,2695.298002
20.0,1867,2732.237013
16.0,1917,2770.368002
20.0,1657,2803.399002
19.0,1758,2838.414003
20.0,1814,2874.404006
20.0,1685,2908.393005
21.0,1628,2940.785003
21.0,1692,2974.622003
18.0,2028,3014.291008
20.0,1852,3051.220004
20.0,1808,3087.210003
21.0,1758,3121.961005
19.0,1973,3161.407002
21.0,1662,3194.362003
20.0,1689,3228.244002
20.0,1744,3262.411002
20.0,1721,3296.811007
20.0,1757,3331.421003
19.0,1862,3368.641004
20.0,1772,3403.975003
20.0,1788,3439.192003
20.0,1659,3472.031003
21.0,1652,3505.239002
20.0,1670,3538.484007
19.0,1834,3574.957003
20.0,1666,3608.034005
18.0,1781,3643.482003
20.0,1722,3677.975009
20.0,1772,3713.650002
21.0,1693,3747.124004
21.0,1652,3779.945006
20.0,1667,3813.452003
21.0,1648,3846.404002
20.0,1658,3879.365002
18.0,1889,3917.102003
21.0,1654,3949.767005
20.0,1665,3982.831002
21.0,1650,4015.624002
21.0,1654,4048.431015
21.0,1648,4081.144007
21.0,1653,4114.102005
18.0,1998,4153.908006
21.0,1648,4186.699003
21.0,1654,4219.362002
20.0,1720,4253.886004
21.0,1648,4286.686007
20.0,1658,4320.052002
21.0,1647,4353.054003
20.0,1724,4387.565003
21.0,1706,4421.830003
21.0,1653,4454.789003
18.0,1856,4491.652002
20.0,1671,4525.109008
21.0,1689,4558.551003
19.0,1875,4595.906001
20.0,1744,4630.593005
21.0,1648,4663.497004
20.0,1786,4698.855002
21.0,1650,4731.913004
20.0,1835,4768.387002
21.0,1651,4801.289007
21.0,1691,4834.774002
19.0,1738,4869.483002
20.0,1714,4903.546009
21.0,1689,4937.133003
21.0,1647,4970.140002
20.0,1657,5003.181002
21.0,1652,5036.061003
21.0,1650,5069.100003
21.0,1647,5101.741002
20.0,1753,5136.054002
19.0,1777,5171.698002
21.0,1648,5204.388002
19.0,1768,5239.635003
21.0,1649,5272.381006
21.0,1648,5305.422009
21.0,1648,5338.332005
21.0,1653,5371.435005
21.0,1644,5404.225003
20.0,1746,5439.272005
21.0,1646,5472.147002
21.0,1654,5505.027003
21.0,1644,5538.150001
19.0,1821,5574.269005
21.0,1644,5607.046002
21.0,1647,5639.971003
21.0,1653,5672.920008
21.0,1647,5705.578007
20.0,1710,5739.767003
20.0,1757,5774.469002
21.0,1643,5807.228003
20.0,1730,5841.760002
20.0,1656,5874.815002
21.0,1646,5907.894003
20.0,1724,5942.260002
19.0,1809,5978.427002
21.0,1647,6011.295005
21.0,1648,6044.071002
21.0,1653,6077.082017
21.0,1655,6110.423002
20.0,1668,6143.425005
20.0,1666,6176.888003
21.0,1654,6209.884007
19.0,1807,6245.624007
