# {"t_start": 1587134257.7548597, "env_id": "PongNoFrameskip-v4"} 
r,l,t
-21.0,785,18.184006
-21.0,851,36.897005
-21.0,818,54.471007
-21.0,838,72.953002
-21.0,868,92.229005
-21.0,761,109.208002
-21.0,762,126.085002
-21.0,761,143.163004
-21.0,758,160.056002
-21.0,764,177.022002
-21.0,813,195.055005
-21.0,761,211.892005
-21.0,757,228.482002
-21.0,759,245.709002
-21.0,763,262.778004
-21.0,757,279.866002
-21.0,763,296.744002
-20.0,855,315.789006
-20.0,894,335.516002
-21.0,758,351.870003
-21.0,763,368.004005
-21.0,762,384.373002
-21.0,762,400.589003
-21.0,763,417.105002
-21.0,822,434.592003
-21.0,761,451.141002
-20.0,918,470.496002
-21.0,780,486.898003
-20.0,1015,508.538002
-19.0,1189,533.073005
-19.0,1039,554.918003
-21.0,869,573.204002
-20.0,1084,595.869002
-19.0,1055,617.244002
-21.0,896,636.288002
-21.0,928,655.500002
-20.0,1146,679.123001
-21.0,1188,703.189002
-18.0,1181,727.221005
-15.0,1707,762.227005
-14.0,1566,793.624002
-16.0,1905,832.230002
-8.0,2013,873.877007
-19.0,1609,905.546003
-8.0,2136,947.750007
-12.0,1768,982.615006
-9.0,2002,1021.707002
-9.0,2391,1068.533002
-5.0,2547,1118.234002
4.0,2860,1173.792002
4.0,3152,1234.968002
1.0,3209,1297.041002
-1.0,3567,1366.042004
7.0,2685,1418.553002
3.0,3843,1494.297005
9.0,2895,1550.427005
7.0,3059,1610.243003
20.0,1747,1644.909002
20.0,1801,1680.750001
18.0,1806,1716.498003
19.0,1798,1752.287002
20.0,1702,1785.979002
19.0,1740,1820.522005
20.0,1667,1853.689004
20.0,1659,1886.900003
19.0,1804,1922.903004
20.0,1704,1956.495004
20.0,1742,1991.159003
20.0,1727,2025.493006
20.0,1682,2058.963006
19.0,1783,2094.425002
20.0,1743,2129.077007
21.0,1706,2163.275002
20.0,1726,2197.471008
17.0,1894,2234.809002
19.0,1819,2271.463
21.0,1690,2304.871002
20.0,1726,2339.247004
21.0,1693,2372.858004
21.0,1763,2407.372002
20.0,1770,2442.546003
20.0,1723,2476.706003
21.0,1688,2510.621005
20.0,1723,2544.796002
19.0,1882,2582.233003
20.0,1768,2617.721003
20.0,1726,2651.824003
1.0,2447,2700.454002
20.0,1733,2734.658006
15.0,2024,2774.733001
20.0,1749,2809.626006
20.0,1784,2845.072005
21.0,1698,2879.055002
20.0,1725,2913.29801
19.0,2022,2953.344009
21.0,1692,2987.340002
20.0,1731,3021.313006
20.0,1792,3057.284004
20.0,1688,3090.703002
20.0,1663,3123.937005
20.0,1751,3158.978006
20.0,1707,3192.762002
20.0,1769,3228.401002
19.0,1797,3263.680007
20.0,1924,3301.567006
19.0,1755,3336.425002
21.0,1648,3369.278006
19.0,1796,3405.473002
20.0,1668,3438.077007
20.0,1714,3472.132002
20.0,1658,3505.429001
20.0,1829,3541.665003
19.0,1867,3578.781005
19.0,1750,3613.851004
21.0,1627,3646.379002
20.0,1772,3681.844004
21.0,1693,3715.919002
18.0,1902,3753.760003
21.0,1651,3786.527005
21.0,1649,3819.450003
19.0,1845,3856.365002
20.0,1710,3890.233002
20.0,1727,3924.976003
21.0,1646,3957.345002
20.0,1666,3990.272006
21.0,1646,4023.058002
20.0,1782,4058.445002
18.0,1801,4094.173005
21.0,1693,4127.552002
19.0,1783,4163.204002
21.0,1651,4196.106002
21.0,1650,4228.960006
21.0,1694,4262.737003
18.0,1854,4299.814001
20.0,1707,4334.103002
21.0,1650,4367.066002
20.0,1761,4402.305002
20.0,1664,4435.548004
21.0,1649,4468.473005
20.0,1744,4503.139002
20.0,1711,4537.309004
21.0,1694,4571.022002
21.0,1651,4603.912004
21.0,1653,4636.634007
20.0,1703,4670.906003
21.0,1645,4703.648002
20.0,1760,4738.341002
21.0,1652,4771.587006
21.0,1652,4804.307006
19.0,1793,4840.102003
21.0,1644,4872.760003
21.0,1646,4905.378002
21.0,1649,4938.375009
21.0,1651,4971.508003
20.0,1786,5007.166002
21.0,1652,5039.892005
18.0,1786,5075.512007
21.0,1646,5107.912003
21.0,1654,5140.800008
20.0,1770,5175.822003
21.0,1654,5208.907013
21.0,1651,5241.699004
21.0,1651,5274.403004
21.0,1642,5307.600002
21.0,1651,5340.586008
21.0,1648,5373.457002
18.0,1842,5410.195002
21.0,1649,5443.139003
21.0,1648,5475.971002
21.0,1646,5509.008008
21.0,1645,5542.071002
21.0,1650,5574.800005
21.0,1648,5607.676003
21.0,1650,5640.600004
21.0,1648,5673.403004
21.0,1652,5706.196008
21.0,1654,5739.342004
21.0,1649,5772.036007
21.0,1652,5804.721009
21.0,1653,5837.720006
21.0,1642,5870.750002
21.0,1650,5903.673004
20.0,1836,5940.317004
21.0,1653,5973.259017
21.0,1651,6006.214007
20.0,1746,6041.062004
21.0,1686,6074.578002
21.0,1650,6107.857003
21.0,1654,6140.726002
19.0,1880,6178.526002
21.0,1647,6211.392004
21.0,1692,6244.781004
