# {"t_start": 1587134258.3898723, "env_id": "PongNoFrameskip-v4"} 
r,l,t
-18.0,1103,25.18699
-20.0,1116,49.170989
-21.0,1109,73.20899
-21.0,819,91.29599
-21.0,758,108.239989
-21.0,763,125.131989
-21.0,763,142.232991
-21.0,760,159.174989
-21.0,762,176.08799
-21.0,760,193.111992
-19.0,976,214.68499
-21.0,758,231.343991
-21.0,762,248.579991
-21.0,763,265.65299
-21.0,760,282.77899
-21.0,763,299.698992
-21.0,761,316.661992
-21.0,758,333.331989
-20.0,839,351.50799
-21.0,761,367.63699
-21.0,761,383.961994
-21.0,760,400.09099
-21.0,760,416.55299
-21.0,759,432.62499
-21.0,757,449.126993
-21.0,823,466.623989
-21.0,892,485.08799
-21.0,926,504.79099
-20.0,1028,526.369993
-20.0,946,546.17299
-21.0,822,563.592989
-20.0,947,583.141004
-21.0,960,603.167989
-20.0,991,623.928991
-20.0,1097,646.53899
-19.0,1169,670.39799
-19.0,1303,697.01799
-17.0,1371,724.902992
-19.0,1059,746.62399
-19.0,1760,781.70299
-16.0,1656,815.678996
-21.0,1542,847.384992
-19.0,1396,876.02699
-6.0,2416,923.706992
-5.0,2473,972.45799
-3.0,2785,1027.102991
-6.0,2327,1072.63699
-2.0,2882,1128.817992
-2.0,3103,1189.206993
-5.0,2872,1244.935991
3.0,3013,1303.38999
-4.0,2998,1361.18399
8.0,2906,1417.656991
9.0,3072,1478.262989
7.0,3065,1537.60699
16.0,2302,1582.838989
18.0,1782,1617.952001
20.0,1658,1650.550992
19.0,1720,1684.89999
20.0,1720,1719.05499
19.0,1912,1756.86599
21.0,1629,1789.47199
17.0,1861,1826.60699
21.0,1648,1859.128989
20.0,1662,1892.48699
20.0,1693,1926.21599
20.0,1760,1961.099998
20.0,1665,1994.191992
20.0,1666,2027.103
20.0,1789,2062.938991
19.0,1799,2098.545989
19.0,1920,2136.704993
20.0,1746,2171.56599
19.0,1806,2207.20099
19.0,1778,2242.83999
20.0,1748,2277.52999
20.0,1730,2311.913994
20.0,1700,2345.55299
18.0,1842,2382.28399
18.0,1875,2419.323998
19.0,1855,2455.80299
19.0,1820,2492.399991
21.0,1690,2525.99599
20.0,1771,2561.270994
20.0,1748,2596.13699
20.0,1748,2631.086993
20.0,1733,2665.268993
-19.0,1052,2686.583989
20.0,1731,2720.107994
21.0,1692,2753.60699
17.0,1834,2790.500989
21.0,1692,2823.519989
20.0,1764,2859.075991
20.0,1668,2892.103994
18.0,1869,2929.57499
21.0,1695,2963.500991
20.0,1744,2998.020989
20.0,1868,3035.065989
20.0,1779,3070.363992
20.0,1683,3103.835992
21.0,1696,3137.748989
20.0,1724,3172.042994
20.0,1725,3206.592992
20.0,1697,3240.131991
21.0,1651,3272.699001
21.0,1815,3308.637993
21.0,1653,3341.529999
21.0,1687,3375.14699
20.0,1667,3408.340001
20.0,1708,3442.21699
19.0,1772,3477.36399
20.0,1744,3512.15399
20.0,1668,3545.476992
20.0,1712,3579.571992
21.0,1687,3613.10699
18.0,1862,3650.513989
20.0,1765,3686.103996
20.0,1671,3719.287993
20.0,1714,3753.504993
21.0,1654,3786.335989
20.0,1695,3820.187991
21.0,1688,3853.827991
19.0,1777,3889.044993
21.0,1648,3922.094992
21.0,1649,3954.821993
19.0,1888,3992.20699
21.0,1643,4024.674991
21.0,1648,4057.44899
19.0,1740,4092.017991
20.0,1695,4125.425989
15.0,2043,4166.23299
21.0,1645,4199.135991
21.0,1653,4232.075991
21.0,1652,4264.845991
21.0,1646,4297.62399
20.0,1742,4332.832992
20.0,1769,4368.138001
20.0,1723,4402.73799
21.0,1693,4436.335991
20.0,1830,4473.249989
21.0,1650,4505.630989
19.0,1718,4540.224988
21.0,1648,4572.891992
21.0,1693,4606.502989
21.0,1649,4639.35699
20.0,1700,4673.328992
21.0,1652,4706.242991
21.0,1646,4738.975991
21.0,1650,4772.086989
21.0,1650,4804.75299
21.0,1649,4837.461992
19.0,1811,4873.385001
21.0,1650,4906.296992
21.0,1649,4939.409993
20.0,1696,4973.250989
21.0,1652,5006.194994
18.0,1822,5042.558993
21.0,1652,5075.420995
20.0,1724,5109.557996
20.0,1767,5144.339989
21.0,1645,5177.25799
21.0,1651,5210.02199
21.0,1646,5242.80799
20.0,1692,5276.497991
21.0,1645,5309.62599
21.0,1652,5342.397992
20.0,1728,5376.856991
20.0,1701,5410.89399
21.0,1653,5443.838993
21.0,1642,5476.646989
21.0,1647,5509.666989
21.0,1654,5542.963991
21.0,1648,5575.45699
21.0,1651,5608.613007
21.0,1654,5641.500992
20.0,1666,5674.661994
19.0,1754,5709.599991
21.0,1650,5742.424989
20.0,1724,5776.736994
21.0,1650,5809.508993
21.0,1646,5842.471992
19.0,1763,5877.713989
21.0,1649,5910.558988
21.0,1654,5943.569993
21.0,1651,5976.566991
21.0,1649,6009.47899
21.0,1651,6042.309994
21.0,1648,6075.209993
21.0,1643,6108.30799
21.0,1655,6141.101996
21.0,1649,6174.20299
18.0,1813,6210.47799
20.0,1781,6245.81999
