# {"t_start": 1587134257.7828598, "env_id": "PongNoFrameskip-v4"} 
r,l,t
-19.0,927,21.885002
-21.0,909,41.916003
-20.0,925,62.032002
-21.0,832,80.030002
-21.0,789,97.230002
-21.0,760,114.204003
-21.0,758,130.905002
-21.0,764,147.994002
-21.0,761,164.951002
-21.0,762,182.022004
-21.0,758,198.740003
-21.0,819,216.904002
-20.0,885,236.479002
-21.0,760,253.542002
-21.0,763,270.747003
-21.0,760,287.720004
-21.0,852,306.883004
-21.0,757,323.625002
-21.0,757,340.426003
-21.0,757,356.556003
-21.0,760,372.824002
-20.0,895,392.001003
-21.0,810,409.074003
-21.0,760,425.359002
-21.0,760,441.635002
-21.0,757,458.112001
-21.0,777,474.093004
-21.0,845,491.751003
-20.0,895,510.808002
-20.0,884,529.377003
-21.0,807,546.264002
-21.0,901,565.380004
-18.0,1262,591.307003
-20.0,1041,613.091002
-20.0,1026,634.488003
-20.0,1007,655.239002
-20.0,1007,675.747002
-19.0,1140,699.183002
-18.0,1236,724.170003
-19.0,1172,748.260003
-19.0,1369,775.601003
-19.0,1421,804.765002
-20.0,1238,829.885004
-8.0,2244,875.959003
-18.0,1807,911.641002
-11.0,2005,951.355002
-9.0,2257,995.550002
-6.0,2390,1042.160002
-5.0,2435,1090.028002
-2.0,2795,1144.437003
6.0,2479,1192.607003
-3.0,2966,1250.078002
4.0,3135,1310.936002
1.0,3431,1377.302002
9.0,2585,1428.668002
8.0,2861,1484.214002
3.0,3537,1552.952002
11.0,2505,1601.864002
17.0,2022,1641.693005
19.0,1781,1677.278003
20.0,1666,1710.379003
20.0,1656,1743.442002
21.0,1713,1777.257002
21.0,1692,1811.158002
20.0,1662,1844.096002
19.0,1835,1880.604002
21.0,1812,1916.586002
20.0,1663,1949.793002
20.0,1746,1984.451002
20.0,1756,2019.317004
20.0,1789,2054.832003
20.0,1700,2088.495003
20.0,1746,2123.461004
19.0,1821,2159.587003
20.0,1667,2192.909003
20.0,1664,2225.379003
20.0,1745,2260.553005
20.0,1713,2294.382003
20.0,1727,2328.903002
20.0,1666,2361.807002
21.0,1757,2396.521003
21.0,1698,2430.331002
20.0,1663,2463.261003
20.0,1743,2498.113002
20.0,1803,2533.822002
19.0,1761,2569.023
20.0,1779,2604.418004
21.0,1698,2638.450002
2.0,2556,2689.427002
20.0,1749,2723.856006
16.0,1982,2763.219002
20.0,1712,2797.744002
20.0,1731,2831.833004
20.0,1811,2868.116002
21.0,1688,2901.597002
20.0,1666,2934.549002
20.0,1802,2970.719002
21.0,1753,3005.395003
19.0,1717,3039.381005
20.0,1661,3072.278001
19.0,1775,3107.876002
20.0,1913,3146.147014
20.0,1699,3179.536003
21.0,1757,3214.813004
20.0,1810,3250.534004
20.0,1689,3284.122002
21.0,1706,3317.809001
21.0,1648,3350.862002
20.0,1690,3384.389002
20.0,1663,3417.589002
20.0,1773,3452.652
20.0,1721,3486.802003
20.0,1660,3519.726002
19.0,1830,3556.252003
18.0,1928,3594.683003
21.0,1655,3627.583002
20.0,1732,3662.040002
21.0,1648,3695.363003
21.0,1653,3728.217002
21.0,1651,3761.096002
21.0,1653,3794.160002
21.0,1651,3826.963003
21.0,1644,3859.664003
20.0,1727,3894.138001
21.0,1651,3927.105002
21.0,1686,3960.329002
20.0,1704,3994.273002
20.0,1710,4028.068002
21.0,1646,4060.753004
19.0,1819,4096.605002
19.0,1897,4134.574002
21.0,1647,4167.293004
21.0,1645,4200.266002
19.0,1861,4237.143003
20.0,1713,4271.319004
21.0,1652,4304.262001
21.0,1643,4337.155002
21.0,1690,4371.170002
19.0,1891,4408.929004
21.0,1653,4442.254002
21.0,1653,4475.163001
21.0,1649,4507.694002
21.0,1649,4540.698002
20.0,1714,4574.683002
21.0,1722,4609.075004
21.0,1650,4641.924003
21.0,1691,4675.521002
21.0,1693,4709.493002
20.0,1748,4744.264004
21.0,1646,4776.929001
20.0,1704,4810.989002
21.0,1651,4843.784002
21.0,1648,4876.336004
20.0,1713,4910.765002
18.0,1810,4946.825002
20.0,1742,4981.643002
19.0,1896,5019.376003
21.0,1653,5052.172003
21.0,1653,5085.018002
21.0,1649,5117.555001
21.0,1654,5150.554002
20.0,1753,5185.260001
21.0,1645,5218.080003
21.0,1648,5251.164002
20.0,1726,5285.249002
21.0,1650,5318.524002
21.0,1652,5351.479002
21.0,1649,5384.260005
20.0,1784,5420.161005
21.0,1650,5453.060003
21.0,1646,5485.838002
19.0,1758,5520.856002
21.0,1642,5553.701001
21.0,1648,5586.612002
20.0,1670,5620.058002
21.0,1653,5652.988001
21.0,1650,5685.675002
20.0,1725,5720.120002
20.0,1724,5754.267002
21.0,1649,5787.192005
21.0,1643,5819.746001
20.0,1774,5855.131003
21.0,1647,5888.224002
21.0,1650,5921.100002
20.0,1720,5955.451003
21.0,1642,5988.493002
21.0,1649,6021.183002
19.0,1744,6056.071002
20.0,1747,6090.924003
21.0,1649,6123.651001
21.0,1646,6156.796004
21.0,1643,6189.664003
20.0,1730,6223.875001
21.0,1646,6257.069006
