# {"t_start": 1587134257.3368595, "env_id": "PongNoFrameskip-v4"} 
r,l,t
-21.0,763,18.122005
-20.0,982,40.061003
-20.0,948,60.864002
-21.0,824,78.658002
-21.0,907,98.610003
-21.0,764,115.680002
-21.0,762,132.390007
-21.0,762,149.430002
-21.0,757,166.322007
-21.0,763,183.409003
-21.0,764,200.236003
-21.0,821,218.443003
-21.0,763,235.219005
-21.0,761,252.424002
-21.0,758,269.451003
-21.0,764,286.563002
-21.0,759,303.489002
-21.0,791,321.140003
-21.0,757,337.979007
-20.0,853,356.072002
-21.0,762,372.496005
-20.0,836,390.415007
-21.0,758,406.370003
-21.0,819,424.114004
-21.0,764,440.535002
-21.0,867,459.354002
-21.0,762,475.038004
-21.0,963,495.131003
-21.0,824,512.448007
-20.0,929,531.960003
-21.0,837,549.586003
-21.0,757,565.662014
-21.0,945,585.313003
-18.0,1162,609.163013
-20.0,979,629.575002
-20.0,892,648.335002
-20.0,1059,669.922002
-20.0,1125,692.987001
-19.0,1104,715.839005
-19.0,1366,743.368002
-19.0,1310,769.827003
-20.0,1423,798.705002
-8.0,2180,842.108002
-19.0,1389,871.962005
-9.0,2119,913.630002
-14.0,1766,948.552004
-13.0,1764,983.311003
-3.0,2598,1033.853003
-9.0,2305,1079.438003
-2.0,2829,1134.469004
-6.0,2447,1181.847003
-2.0,3023,1240.388003
-4.0,3205,1302.817002
-1.0,3649,1373.263003
12.0,2571,1424.435009
-2.0,3479,1492.008002
8.0,2660,1543.472003
15.0,2390,1590.276002
19.0,1902,1627.427002
20.0,1747,1662.197006
20.0,1661,1695.457003
20.0,1693,1728.877008
20.0,1687,1762.448002
20.0,1686,1796.029002
20.0,1720,1830.218002
21.0,1686,1863.799002
21.0,1691,1897.570005
20.0,1741,1932.314002
19.0,1717,1966.168007
20.0,1704,2000.117004
20.0,1702,2034.235007
20.0,1705,2067.958002
20.0,1749,2102.711003
20.0,1663,2135.588003
21.0,1704,2169.556005
17.0,1924,2207.563002
20.0,1767,2242.944005
20.0,1750,2277.556004
20.0,1823,2314.067004
20.0,1685,2347.488002
18.0,1819,2383.699007
20.0,1749,2418.175003
20.0,1774,2453.074003
20.0,1762,2488.612008
20.0,1788,2524.001008
21.0,1690,2557.877002
20.0,1771,2592.944002
21.0,1753,2628.022007
21.0,1698,2661.522004
-15.0,1288,2687.471003
20.0,1743,2721.367003
20.0,1707,2755.270002
17.0,1767,2790.334003
19.0,1822,2826.878003
19.0,1819,2863.306003
20.0,1790,2898.973002
20.0,1681,2932.230006
20.0,1809,2968.634003
21.0,1696,3001.788006
21.0,1699,3035.502003
19.0,1807,3071.418006
20.0,1743,3106.368003
20.0,1808,3142.629006
18.0,1863,3179.501003
20.0,1733,3214.085002
19.0,1730,3248.677003
20.0,1666,3281.454004
20.0,1720,3315.609003
18.0,1878,3353.207004
21.0,1696,3386.919002
20.0,1713,3420.796003
20.0,1811,3456.775005
20.0,1711,3490.553006
20.0,1750,3525.623004
20.0,1724,3559.770003
20.0,1700,3593.737013
20.0,1695,3627.438002
20.0,1663,3660.533003
21.0,1647,3693.891001
21.0,1654,3726.758002
21.0,1644,3759.370002
20.0,1660,3792.436003
21.0,1652,3825.518007
20.0,1703,3859.308002
21.0,1649,3892.307004
21.0,1651,3925.292003
21.0,1655,3957.929003
20.0,1772,3993.022002
21.0,1653,4025.830006
19.0,1900,4063.711004
12.0,2139,4106.028002
20.0,1774,4141.299005
20.0,1714,4175.536002
20.0,1667,4208.693004
21.0,1652,4241.558005
21.0,1657,4274.626002
20.0,1776,4310.057014
21.0,1648,4343.232006
20.0,1721,4377.590005
21.0,1688,4411.514004
20.0,1764,4446.849002
21.0,1692,4480.550003
21.0,1655,4513.538004
21.0,1644,4546.341002
21.0,1650,4578.823004
21.0,1651,4611.945002
21.0,1650,4644.650008
21.0,1651,4677.548005
21.0,1689,4711.471002
20.0,1771,4746.451002
21.0,1650,4779.388004
17.0,1831,4815.754003
21.0,1653,4848.794003
21.0,1688,4882.176002
20.0,1703,4915.912009
21.0,1643,4949.080003
21.0,1646,4981.879003
21.0,1649,5014.798004
21.0,1646,5047.559002
21.0,1650,5080.676003
21.0,1650,5113.030003
21.0,1654,5145.667002
21.0,1648,5178.641013
21.0,1649,5211.360003
21.0,1651,5244.230007
18.0,1888,5281.961003
21.0,1693,5315.741003
20.0,1792,5351.419002
20.0,1744,5386.418005
21.0,1648,5419.429002
21.0,1650,5452.379003
21.0,1643,5485.146002
19.0,1879,5522.447003
21.0,1642,5555.382004
19.0,1761,5590.521002
21.0,1647,5623.313002
19.0,1865,5660.569002
18.0,1818,5696.568002
20.0,1745,5731.340003
20.0,1697,5765.018003
21.0,1648,5797.976003
21.0,1651,5830.534002
21.0,1689,5864.508004
21.0,1644,5897.500002
21.0,1650,5930.320006
19.0,1746,5965.139004
20.0,1691,5998.982002
20.0,1742,6033.702003
21.0,1648,6066.813006
21.0,1651,6099.899003
20.0,1725,6134.007004
21.0,1646,6167.266003
18.0,1772,6202.490002
20.0,1709,6236.435003
20.0,1783,6272.044002
