# {"t_start": 1587134257.0048597, "env_id": "PongNoFrameskip-v4"} 
r,l,t
-21.0,757,17.863008
-21.0,819,36.155002
-21.0,910,56.062003
-21.0,929,76.417002
-19.0,1040,99.671003
-21.0,760,116.651008
-21.0,759,133.322005
-21.0,761,150.349002
-20.0,878,170.172008
-21.0,764,187.107002
-20.0,901,207.170004
-21.0,761,223.977003
-21.0,761,241.062009
-21.0,760,258.057003
-21.0,760,275.201004
-21.0,760,292.167002
-21.0,758,308.932003
-21.0,758,325.779003
-21.0,759,342.524002
-21.0,763,358.769004
-21.0,758,374.903002
-21.0,758,391.122002
-21.0,809,408.172003
-19.0,936,428.476006
-20.0,912,448.148003
-21.0,758,463.960002
-21.0,962,484.031003
-19.0,1011,505.396004
-20.0,842,523.146002
-18.0,1138,546.950003
-19.0,970,567.576002
-21.0,972,587.700002
-20.0,1065,609.628006
-19.0,1053,631.579001
-20.0,1171,655.826004
-20.0,1060,677.623002
-20.0,1348,705.238003
-20.0,1116,727.783005
-17.0,1539,759.304003
-15.0,1746,794.536002
-12.0,1779,830.662002
-8.0,2102,873.971006
-15.0,1826,909.826002
-16.0,1783,945.096003
-15.0,1629,977.285002
-6.0,2475,1025.726002
-6.0,2682,1078.390002
-6.0,2498,1126.904002
-4.0,2742,1180.131002
6.0,2860,1235.579002
-1.0,3429,1302.167003
7.0,2984,1359.964001
4.0,2996,1417.862003
10.0,2942,1476.205002
-1.0,3543,1545.278002
9.0,2617,1596.483006
16.0,2137,1638.377003
20.0,1705,1672.475003
20.0,1654,1705.375002
19.0,1794,1740.993001
18.0,1776,1776.151004
20.0,1727,1810.623002
16.0,2022,1850.609002
20.0,1686,1884.497002
20.0,1757,1919.174004
18.0,1837,1955.620003
18.0,1957,1994.734002
19.0,1801,2030.722004
20.0,1724,2065.015007
20.0,1747,2099.442006
21.0,1687,2132.988004
21.0,1750,2167.767002
20.0,1702,2201.810004
20.0,1743,2236.099003
20.0,1705,2270.327006
20.0,1663,2303.333006
20.0,1732,2337.625004
20.0,1684,2371.266004
20.0,1809,2406.520003
20.0,1771,2441.817007
19.0,1905,2479.873004
20.0,1678,2513.260004
21.0,1652,2546.174013
19.0,1864,2583.236005
20.0,1747,2618.215003
21.0,1753,2652.949002
-10.0,1695,2686.349002
18.0,1939,2725.277002
19.0,1788,2760.667003
20.0,1663,2793.818002
21.0,1694,2827.365001
20.0,1667,2860.224002
20.0,1747,2895.157003
19.0,1791,2930.797002
21.0,1694,2964.693004
19.0,1907,3002.506003
19.0,1833,3039.083002
20.0,1765,3074.270003
21.0,1695,3108.053004
20.0,1742,3142.796003
17.0,2047,3183.491005
19.0,1730,3218.326002
20.0,1927,3256.163002
21.0,1623,3288.419003
19.0,1800,3323.815002
18.0,1830,3360.498001
20.0,1694,3394.032005
19.0,1780,3429.449004
21.0,1649,3462.077005
19.0,1732,3496.759001
20.0,1720,3530.907007
19.0,1741,3565.650005
20.0,1663,3598.568006
21.0,1692,3632.205006
20.0,1669,3665.673005
20.0,1741,3700.394002
21.0,1645,3733.393002
21.0,1651,3766.374013
20.0,1701,3800.210003
21.0,1650,3833.252006
21.0,1648,3866.130003
21.0,1723,3900.324003
20.0,1729,3935.069002
20.0,1731,3969.109007
21.0,1651,4001.740014
21.0,1654,4034.673002
21.0,1644,4067.153002
19.0,1755,4101.949002
21.0,1653,4134.789002
21.0,1691,4168.574002
21.0,1648,4201.584006
21.0,1693,4235.076014
21.0,1649,4267.841002
18.0,1864,4305.193003
21.0,1649,4338.185004
20.0,1704,4372.468003
20.0,1709,4406.686017
21.0,1651,4439.704013
20.0,1769,4475.106003
20.0,1779,4510.509005
21.0,1693,4544.263002
18.0,1832,4580.482004
21.0,1648,4613.491002
20.0,1743,4647.921002
20.0,1695,4681.943008
21.0,1691,4715.575003
21.0,1654,4748.428008
21.0,1689,4782.251004
21.0,1653,4814.989003
21.0,1649,4847.940003
20.0,1795,4883.542003
19.0,1810,4919.409002
21.0,1654,4952.762002
20.0,1747,4987.306004
20.0,1666,5020.819006
21.0,1654,5053.569006
20.0,1828,5090.179004
21.0,1645,5122.575001
20.0,1703,5156.389003
21.0,1692,5190.174002
21.0,1648,5222.870003
21.0,1655,5255.778005
21.0,1652,5288.839003
20.0,1785,5324.287004
21.0,1655,5357.266008
20.0,1740,5392.322007
20.0,1756,5427.398004
21.0,1651,5460.500004
21.0,1647,5493.298004
21.0,1654,5526.092005
20.0,1706,5560.547002
21.0,1643,5593.025003
21.0,1644,5625.872003
21.0,1648,5658.699002
21.0,1652,5691.584007
21.0,1648,5724.362005
21.0,1649,5757.067005
20.0,1697,5790.955004
21.0,1648,5823.502006
21.0,1653,5856.656004
21.0,1648,5889.791005
20.0,1661,5922.674002
21.0,1649,5955.598002
21.0,1649,5988.772002
20.0,1731,6023.165005
21.0,1651,6056.191004
20.0,1744,6091.064002
20.0,1710,6125.047005
21.0,1653,6158.345012
19.0,1780,6193.698005
21.0,1647,6226.466003
21.0,1718,6260.965003
