# {"t_start": 1587134256.6968591, "env_id": "PongNoFrameskip-v4"} 
r,l,t
-20.0,835,20.564003
-20.0,1003,43.112003
-20.0,841,61.167002
-19.0,1001,83.112007
-21.0,867,102.399004
-21.0,759,119.272004
-21.0,758,136.108002
-21.0,761,153.019001
-21.0,760,169.708005
-20.0,942,190.804003
-21.0,849,209.618003
-21.0,761,226.437003
-21.0,761,243.693003
-21.0,761,260.692002
-21.0,761,277.820003
-21.0,787,295.256003
-21.0,759,312.117003
-21.0,761,329.120004
-19.0,928,349.058002
-21.0,761,365.283003
-21.0,759,381.658002
-21.0,764,397.655003
-21.0,761,414.177002
-21.0,760,430.386004
-21.0,758,446.714004
-21.0,763,462.870003
-21.0,854,480.937003
-21.0,759,496.641005
-21.0,818,513.794003
-21.0,968,534.035004
-20.0,962,554.117003
-21.0,813,571.445005
-19.0,1164,595.707003
-19.0,1035,616.916002
-20.0,925,636.452003
-20.0,1043,658.014003
-18.0,1182,682.100003
-20.0,919,700.901002
-20.0,1142,723.988003
-16.0,1446,753.852003
-16.0,1649,786.598004
-18.0,1463,816.325003
-17.0,1513,846.899003
-19.0,1330,875.118003
-17.0,1540,905.382004
-4.0,2587,956.468005
-7.0,2244,1000.639003
-1.0,2635,1052.242002
-6.0,2665,1104.046003
-6.0,2645,1155.663004
2.0,2915,1212.037003
-1.0,3801,1285.969004
2.0,3138,1346.288002
5.0,3284,1410.093003
1.0,3639,1482.215005
7.0,3143,1543.034007
9.0,3065,1603.247003
15.0,2208,1646.835002
21.0,1714,1680.830004
20.0,1761,1716.081003
18.0,1897,1753.664003
19.0,1796,1789.256003
20.0,1728,1823.639003
20.0,1662,1856.476003
17.0,1873,1894.276006
20.0,1750,1928.982002
20.0,1733,1963.461002
20.0,1750,1998.119002
19.0,1805,2034.285004
20.0,1702,2067.960003
20.0,1815,2104.056003
19.0,1715,2137.910003
17.0,2002,2177.648003
20.0,1681,2211.275003
20.0,1706,2245.290003
20.0,1824,2281.520003
20.0,1724,2315.758005
20.0,1703,2349.740002
21.0,1770,2384.800003
19.0,1905,2422.394002
19.0,1798,2457.822002
20.0,1764,2493.146003
20.0,1767,2528.415004
19.0,1792,2564.045002
20.0,1750,2598.990003
20.0,1666,2632.139004
21.0,1697,2665.681003
-19.0,1034,2685.626003
20.0,1666,2718.452003
20.0,1809,2754.694003
18.0,1848,2791.694005
20.0,1723,2825.707002
20.0,1692,2859.480003
20.0,1660,2892.321003
21.0,1695,2926.196004
21.0,1697,2960.006003
20.0,1746,2994.818007
20.0,1744,3029.425002
21.0,1699,3063.208003
21.0,1694,3097.043003
21.0,1689,3130.509004
20.0,1778,3166.179003
16.0,2017,3206.207002
19.0,1818,3242.579003
20.0,1751,3277.311003
20.0,1698,3310.808002
20.0,1750,3345.917002
20.0,1710,3379.891003
18.0,1812,3416.337005
20.0,1693,3449.847005
20.0,1701,3483.320002
20.0,1726,3517.804002
20.0,1729,3552.132002
21.0,1649,3585.116003
20.0,1670,3618.296002
21.0,1651,3651.117005
21.0,1648,3684.286003
21.0,1652,3717.355002
16.0,2006,3757.146003
21.0,1648,3789.879004
19.0,1875,3827.493004
20.0,1744,3862.196002
20.0,1700,3896.155005
20.0,1717,3930.319003
21.0,1648,3962.998003
21.0,1644,3995.650002
21.0,1654,4028.249002
10.0,2322,4074.378003
19.0,1825,4110.383003
21.0,1691,4144.202003
21.0,1651,4177.261002
20.0,1775,4212.729002
21.0,1648,4245.506002
21.0,1650,4278.219002
20.0,1774,4313.844001
21.0,1643,4346.797003
21.0,1689,4380.780005
21.0,1648,4413.703002
21.0,1650,4446.601001
20.0,1746,4481.475003
20.0,1706,4515.501004
21.0,1655,4548.413002
21.0,1652,4581.082002
20.0,1725,4615.376002
21.0,1688,4649.125003
21.0,1648,4681.922003
21.0,1654,4714.991003
19.0,1780,4750.276004
19.0,1785,4785.827003
15.0,1944,4824.703003
20.0,1787,4860.116003
21.0,1650,4893.028003
20.0,1730,4927.445003
20.0,1708,4961.653003
20.0,1725,4995.698003
13.0,2185,5039.219003
21.0,1642,5072.224003
21.0,1654,5104.710003
21.0,1655,5137.424003
21.0,1647,5170.344002
20.0,1719,5204.548002
21.0,1644,5237.193002
21.0,1652,5270.140002
20.0,1729,5304.723003
21.0,1650,5337.594004
21.0,1644,5370.629003
18.0,1816,5406.694003
21.0,1643,5439.855006
21.0,1648,5472.701003
21.0,1652,5505.566002
21.0,1646,5538.790003
21.0,1653,5571.682003
21.0,1649,5604.360004
21.0,1653,5637.305002
21.0,1655,5670.494003
21.0,1651,5703.159003
21.0,1643,5735.756002
21.0,1654,5768.782001
21.0,1649,5801.586003
21.0,1645,5834.095003
20.0,1670,5867.780003
21.0,1645,5900.801002
21.0,1646,5933.455003
20.0,1711,5967.711004
21.0,1651,6000.632003
21.0,1650,6033.396003
21.0,1649,6066.431003
21.0,1646,6099.493003
20.0,1764,6134.411002
21.0,1650,6167.665002
21.0,1651,6200.783002
20.0,1703,6234.321003
21.0,1646,6267.350003
