# {"t_start": 1587134257.1378593, "env_id": "PongNoFrameskip-v4"} 
r,l,t
-21.0,759,17.943003
-20.0,833,36.426002
-20.0,900,56.135002
-20.0,837,74.386003
-19.0,921,94.743003
-21.0,762,111.719002
-18.0,1171,138.184002
-21.0,764,155.373003
-21.0,763,172.269004
-21.0,762,189.107005
-21.0,762,206.130003
-21.0,791,223.507002
-21.0,764,240.623005
-21.0,759,257.612002
-21.0,761,274.803002
-21.0,764,291.826002
-21.0,758,308.590003
-20.0,954,329.857002
-21.0,761,346.250009
-21.0,757,362.665002
-21.0,764,378.957005
-21.0,824,396.199003
-21.0,759,412.662003
-21.0,759,428.992002
-21.0,758,445.149007
-21.0,761,461.399004
-21.0,757,477.404004
-20.0,977,497.858001
-20.0,958,517.874002
-19.0,925,537.270002
-20.0,834,554.544003
-20.0,1092,577.803002
-20.0,880,596.053003
-19.0,1234,621.249002
-19.0,981,641.987003
-20.0,921,661.048002
-20.0,1276,687.474002
-19.0,1205,711.659003
-18.0,1189,736.116005
-17.0,1487,766.188007
-17.0,1419,794.932003
-14.0,1739,830.009002
-12.0,2015,871.772004
-7.0,2056,912.178003
-9.0,2154,954.759007
-7.0,2365,1001.354003
-6.0,2274,1045.783003
-1.0,3084,1105.952004
-5.0,2457,1153.668003
-1.0,3062,1213.115002
-3.0,3359,1278.141001
2.0,3020,1336.261004
4.0,3235,1399.002002
10.0,2980,1458.129002
12.0,2658,1509.985003
14.0,2552,1559.654002
15.0,2306,1605.099003
20.0,1710,1638.648003
19.0,1780,1674.373005
19.0,1713,1708.260005
20.0,1669,1741.533005
20.0,1789,1776.859002
20.0,1720,1811.246002
20.0,1747,1845.838008
21.0,1642,1878.483002
18.0,1829,1914.995003
20.0,1661,1948.025004
20.0,1749,1982.827002
20.0,1744,2017.284004
20.0,1665,2050.630003
20.0,1806,2086.322003
20.0,1702,2120.173003
20.0,1761,2155.139003
20.0,1782,2190.650008
20.0,1702,2224.245005
19.0,1903,2262.589002
21.0,1633,2294.708003
21.0,1752,2329.756002
19.0,1909,2367.352005
20.0,1725,2401.540003
21.0,1707,2435.264003
20.0,1747,2470.052007
20.0,1701,2503.915006
19.0,1759,2539.089008
20.0,1726,2573.406003
20.0,1866,2610.841003
20.0,1805,2646.403003
-6.0,2051,2687.564003
20.0,1726,2721.104007
20.0,1661,2753.878003
18.0,1877,2791.875011
20.0,1771,2826.928003
20.0,1806,2863.050003
20.0,1723,2897.355002
20.0,1796,2933.049002
20.0,1700,2967.116006
20.0,1697,3000.440002
20.0,1745,3034.949004
19.0,1888,3072.804004
19.0,1776,3108.415002
21.0,1693,3141.980008
16.0,1978,3181.362003
20.0,1773,3216.981004
19.0,1811,3252.665002
21.0,1692,3286.340003
19.0,1812,3321.871003
20.0,1703,3356.382007
19.0,1969,3395.116003
20.0,1699,3428.824004
18.0,1862,3465.873003
20.0,1662,3498.837003
21.0,1651,3531.856006
20.0,1801,3567.748004
20.0,1788,3603.070004
21.0,1655,3636.193003
20.0,1756,3670.988003
21.0,1693,3705.121004
20.0,1706,3739.092002
20.0,1728,3773.632004
21.0,1649,3806.519003
20.0,1720,3840.625002
21.0,1643,3873.677004
21.0,1686,3907.126005
20.0,1726,3941.479004
21.0,1649,3974.312006
21.0,1645,4006.659003
21.0,1653,4039.433006
20.0,1742,4074.254003
19.0,1801,4109.669003
20.0,1762,4145.034003
21.0,1651,4177.968006
21.0,1650,4210.887002
21.0,1691,4244.555002
21.0,1653,4277.400003
19.0,1815,4313.910003
21.0,1650,4346.968006
21.0,1655,4380.17401
21.0,1653,4413.263007
21.0,1649,4446.068002
21.0,1650,4478.927003
21.0,1648,4511.917004
21.0,1652,4544.845003
19.0,1846,4581.455005
20.0,1716,4615.608003
21.0,1688,4649.272005
20.0,1666,4682.558007
20.0,1724,4716.719004
18.0,1842,4753.550003
21.0,1649,4786.242003
21.0,1652,4819.011013
20.0,1727,4853.706003
18.0,1861,4890.587003
20.0,1705,4924.435004
21.0,1648,4957.519003
21.0,1753,4992.342002
21.0,1652,5025.326005
21.0,1692,5058.997003
20.0,1767,5094.024002
21.0,1650,5126.47601
20.0,1758,5161.755006
21.0,1653,5194.399013
21.0,1651,5227.335004
21.0,1646,5260.211003
21.0,1650,5293.038003
21.0,1648,5325.978014
20.0,1793,5361.758003
21.0,1655,5394.854005
21.0,1647,5427.988003
20.0,1710,5462.036005
21.0,1646,5494.848003
21.0,1653,5527.809003
21.0,1642,5561.009005
21.0,1653,5593.624003
20.0,1769,5628.983003
21.0,1651,5661.890006
21.0,1645,5694.450003
18.0,1837,5730.987003
21.0,1654,5763.775003
21.0,1643,5796.534004
21.0,1652,5829.314005
21.0,1650,5862.379005
20.0,1839,5899.472002
20.0,1761,5934.377002
21.0,1653,5967.590003
21.0,1652,6000.538005
21.0,1649,6033.278006
21.0,1650,6066.33401
20.0,1707,6100.629003
19.0,1811,6136.387003
20.0,1704,6170.771003
21.0,1655,6203.773002
21.0,1654,6236.508006
19.0,1856,6273.68701
