# {"t_start": 1587134257.88886, "env_id": "PongNoFrameskip-v4"} 
r,l,t
-21.0,760,17.283003
-21.0,850,36.176004
-21.0,909,56.130002
-19.0,988,77.817002
-21.0,822,95.873002
-21.0,761,112.836004
-21.0,760,129.590003
-21.0,760,146.642001
-21.0,761,163.591002
-21.0,758,180.514004
-21.0,761,197.388002
-21.0,810,215.438003
-21.0,762,232.160003
-21.0,761,249.360004
-21.0,759,266.387002
-21.0,760,283.481002
-20.0,868,302.639003
-21.0,760,319.526003
-21.0,757,336.341004
-21.0,764,352.724001
-21.0,759,368.886003
-21.0,758,385.123002
-20.0,914,404.601002
-21.0,757,420.984005
-21.0,758,437.246002
-21.0,763,453.752002
-20.0,864,471.680002
-20.0,1014,492.910002
-21.0,910,512.148002
-20.0,1182,537.078002
-20.0,958,557.050002
-21.0,876,575.654002
-20.0,976,595.927004
-18.0,1267,622.018002
-21.0,958,642.212002
-21.0,1121,665.299003
-19.0,1035,686.613002
-17.0,1373,714.562001
-17.0,1549,745.894003
-12.0,2077,787.512005
-14.0,1580,819.844002
-9.0,2128,864.154002
-13.0,1920,902.057002
-14.0,2167,944.695002
-11.0,2100,986.144002
-13.0,1853,1022.340003
-10.0,2004,1061.600001
-8.0,2264,1105.751004
-8.0,2564,1155.722004
3.0,3055,1214.949003
1.0,3131,1275.363002
7.0,3070,1334.496002
7.0,3349,1399.539002
7.0,2841,1455.859003
4.0,3168,1517.263002
12.0,2600,1568.143002
18.0,1840,1604.719004
17.0,1919,1642.363005
20.0,1662,1675.639005
20.0,1663,1708.625002
19.0,1867,1745.737002
20.0,1775,1780.833032
20.0,1661,1814.153003
20.0,1710,1847.871002
20.0,1706,1882.034001
17.0,1917,1920.059001
19.0,1762,1955.031005
20.0,1745,1989.594005
20.0,1755,2024.491006
20.0,1783,2060.037005
20.0,1683,2093.368006
19.0,1815,2129.634003
21.0,1630,2162.150002
18.0,1984,2201.724005
20.0,1710,2235.356002
20.0,1749,2270.458002
19.0,1845,2307.081002
20.0,1696,2340.974003
20.0,1661,2373.662002
19.0,1756,2408.242002
21.0,1688,2441.672002
19.0,1756,2476.407003
20.0,1762,2511.772003
19.0,1811,2548.036003
21.0,1687,2581.475002
21.0,1698,2615.303002
21.0,1695,2649.123002
-9.0,1855,2685.698002
20.0,1783,2720.968003
21.0,1633,2752.991001
18.0,1789,2788.579004
21.0,1835,2825.413001
20.0,1701,2859.191007
20.0,1664,2892.167003
20.0,1798,2928.220002
21.0,1747,2963.105002
19.0,1754,2997.985003
20.0,1729,3032.056005
21.0,1694,3065.892002
20.0,1664,3098.931002
20.0,1764,3134.162002
20.0,1810,3170.138002
19.0,1888,3208.123002
21.0,1647,3240.633003
21.0,1654,3273.332004
20.0,1740,3307.680002
20.0,1768,3343.104003
20.0,1712,3377.026004
21.0,1644,3409.794002
18.0,1874,3447.117002
19.0,1878,3484.758002
19.0,1820,3520.704003
20.0,1723,3555.241001
21.0,1653,3587.950004
20.0,1704,3621.902007
19.0,1847,3658.791006
21.0,1652,3692.078004
19.0,1898,3729.755003
21.0,1649,3762.817007
19.0,1779,3798.031002
20.0,1705,3832.193002
20.0,1667,3865.600005
21.0,1647,3898.037003
21.0,1652,3931.171002
18.0,1896,3968.740001
21.0,1650,4001.400003
20.0,1752,4036.073002
20.0,1732,4070.442001
20.0,1729,4104.901001
20.0,1722,4138.982004
21.0,1654,4172.110005
21.0,1648,4205.005013
20.0,1784,4240.338006
20.0,1705,4274.375002
21.0,1652,4307.302003
21.0,1774,4343.136001
20.0,1733,4377.778002
20.0,1712,4412.119004
21.0,1645,4444.887002
20.0,1708,4478.942003
19.0,1749,4513.911001
21.0,1652,4546.824008
20.0,1774,4582.146002
21.0,1650,4614.855002
21.0,1651,4647.603003
21.0,1694,4681.539002
20.0,1767,4716.673002
21.0,1653,4749.599004
21.0,1649,4782.462002
20.0,1703,4816.173002
21.0,1644,4849.264003
20.0,1740,4883.667001
19.0,1767,4918.662002
21.0,1652,4951.983005
18.0,1847,4988.597003
21.0,1652,5021.890004
21.0,1648,5054.316003
21.0,1649,5087.149003
20.0,1703,5120.911002
20.0,1726,5155.154002
21.0,1651,5188.114002
21.0,1643,5220.801001
20.0,1732,5255.208003
20.0,1702,5289.254004
21.0,1648,5322.139002
19.0,1749,5356.975003
21.0,1694,5390.910002
21.0,1649,5423.991003
21.0,1650,5456.793003
21.0,1648,5489.874002
20.0,1713,5523.737002
20.0,1671,5557.451003
19.0,1877,5594.602002
20.0,1664,5627.895003
21.0,1651,5660.811006
21.0,1648,5693.406005
21.0,1651,5726.294002
21.0,1645,5759.190002
21.0,1652,5791.971003
21.0,1651,5824.504002
21.0,1651,5857.862003
20.0,1667,5891.295002
21.0,1654,5924.140003
19.0,1700,5958.159002
21.0,1654,5991.210002
20.0,1764,6026.290003
21.0,1646,6059.343002
20.0,1700,6093.199002
20.0,1736,6127.755002
21.0,1687,6161.720003
21.0,1654,6194.526004
21.0,1649,6227.385005
21.0,1650,6260.498003
