# {"t_start": 1587134258.3588724, "env_id": "PongNoFrameskip-v4"} 
r,l,t
-21.0,821,18.47499
-21.0,879,37.88999
-21.0,819,55.660995
-20.0,973,76.97299
-21.0,819,94.986989
-21.0,758,111.89199
-21.0,763,128.70199
-21.0,759,145.737989
-21.0,764,162.68899
-21.0,762,179.66999
-21.0,761,196.64199
-21.0,764,213.547988
-20.0,895,233.304992
-21.0,763,250.534991
-21.0,760,267.59499
-21.0,762,284.657989
-21.0,760,301.54799
-21.0,760,318.45399
-21.0,761,335.288989
-19.0,927,355.300994
-21.0,764,371.83399
-21.0,764,387.97299
-21.0,759,403.874989
-21.0,759,420.313991
-21.0,790,437.49099
-20.0,926,457.38899
-20.0,1036,479.058989
-21.0,1095,501.82299
-21.0,877,520.244992
-21.0,820,537.642989
-21.0,880,556.048991
-21.0,807,573.02499
-20.0,1033,594.49999
-21.0,1125,617.585989
-19.0,998,638.621992
-19.0,995,659.219991
-18.0,1076,681.17199
-18.0,1137,704.65899
-18.0,1248,729.970989
-17.0,1600,762.539989
-19.0,1405,790.639992
-14.0,1707,825.33899
-10.0,1897,864.873991
-17.0,1717,898.667989
-13.0,1936,936.732991
-6.0,2408,984.37099
-2.0,2598,1035.002994
-8.0,2156,1077.534993
-7.0,2429,1124.532995
-3.0,2944,1182.03599
-1.0,3050,1241.137992
6.0,3165,1302.662989
10.0,2889,1358.29599
1.0,3496,1427.377989
9.0,3115,1487.72599
11.0,2826,1542.68799
16.0,2411,1589.93899
17.0,2159,1632.332994
20.0,1661,1665.33699
17.0,1944,1704.160989
20.0,1664,1736.972992
21.0,1625,1769.083994
19.0,1721,1803.552991
20.0,1665,1836.51699
20.0,1681,1869.74999
21.0,1644,1902.97999
19.0,1813,1938.742992
19.0,1794,1974.43899
20.0,1721,2008.571995
19.0,1723,2043.10199
20.0,1667,2075.973993
20.0,1747,2110.875993
18.0,1884,2148.18999
21.0,1759,2183.360989
20.0,1667,2216.33499
20.0,1700,2250.58499
18.0,1832,2286.589992
18.0,1861,2323.695989
18.0,1821,2359.632989
20.0,1894,2397.201992
19.0,1868,2434.203991
19.0,1812,2470.224992
20.0,1806,2506.24599
21.0,1692,2539.986989
19.0,1716,2573.993989
21.0,1752,2609.25899
20.0,1834,2645.501992
-6.0,1990,2684.67399
21.0,1697,2718.41999
17.0,2016,2758.83299
18.0,1796,2794.950987
20.0,1743,2829.429993
19.0,1895,2867.358992
19.0,1870,2904.509993
21.0,1688,2938.139989
20.0,1700,2972.080991
20.0,1926,3009.956991
19.0,1774,3045.278992
20.0,1803,3081.01999
19.0,1906,3118.826989
20.0,1669,3152.31899
21.0,1689,3186.00299
21.0,1648,3218.99599
19.0,1856,3255.63799
20.0,1699,3289.15099
18.0,1930,3327.268989
21.0,1692,3361.072989
20.0,1721,3395.455992
20.0,1723,3429.514991
20.0,1693,3463.19699
19.0,1767,3498.238992
20.0,1760,3533.47399
21.0,1654,3566.344996
21.0,1643,3598.814989
21.0,1649,3631.829991
19.0,1743,3666.49999
21.0,1647,3699.549992
19.0,1738,3734.35099
20.0,1744,3768.974989
20.0,1704,3803.135991
20.0,1717,3837.170991
19.0,1726,3871.737989
20.0,1696,3905.381989
21.0,1643,3938.109989
19.0,1764,3973.34299
21.0,1644,4005.661993
21.0,1650,4038.370994
17.0,2062,4079.238992
21.0,1693,4113.150993
20.0,1716,4147.02799
20.0,1733,4181.785989
20.0,1744,4216.26299
21.0,1646,4249.111991
20.0,1770,4284.36299
21.0,1655,4317.713995
21.0,1689,4351.678989
20.0,1726,4386.21999
21.0,1688,4419.912989
19.0,1807,4456.095992
20.0,1712,4490.132993
20.0,1707,4524.24899
21.0,1650,4556.918989
21.0,1665,4590.24199
21.0,1649,4623.042989
21.0,1653,4655.808992
15.0,2212,4699.824991
21.0,1652,4732.78199
20.0,1708,4766.837989
20.0,1747,4801.546989
21.0,1644,4834.157989
18.0,1816,4870.365989
21.0,1651,4903.17299
21.0,1691,4936.84899
21.0,1649,4969.910994
20.0,1842,5006.886989
21.0,1646,5039.49699
20.0,1661,5072.611989
21.0,1653,5104.96599
21.0,1643,5137.640989
20.0,1738,5172.246992
21.0,1649,5204.94999
21.0,1652,5238.10099
21.0,1653,5270.918991
21.0,1647,5303.950989
21.0,1666,5337.206991
21.0,1653,5370.276992
21.0,1644,5403.02199
20.0,1697,5437.051991
18.0,1881,5474.40699
21.0,1650,5507.496995
21.0,1650,5540.770993
21.0,1646,5573.382989
20.0,1723,5607.78599
20.0,1707,5641.848989
21.0,1651,5674.554991
21.0,1653,5707.508989
21.0,1650,5740.38399
21.0,1654,5773.18999
21.0,1653,5806.155993
21.0,1691,5839.797988
21.0,1689,5873.61999
21.0,1645,5906.695989
21.0,1651,5939.44799
21.0,1650,5972.375994
21.0,1650,6005.27699
21.0,1650,6038.442992
21.0,1649,6071.278989
21.0,1652,6104.314992
20.0,1727,6138.640993
21.0,1652,6171.661992
20.0,1786,6207.40799
21.0,1648,6240.282993
