# {"t_start": 1587134257.0968604, "env_id": "PongNoFrameskip-v4"} 
r,l,t
-21.0,937,22.83601
-21.0,936,43.587001
-21.0,972,64.511002
-20.0,883,83.911
-21.0,764,100.421002
-21.0,764,117.480002
-21.0,759,134.337002
-21.0,760,151.320001
-21.0,763,168.222002
-21.0,763,185.300001
-21.0,760,202.162009
-21.0,863,221.113004
-21.0,760,238.088003
-21.0,762,255.144001
-21.0,758,272.314002
-21.0,760,289.157008
-21.0,763,306.073003
-21.0,764,323.113003
-21.0,764,340.067002
-21.0,927,360.090002
-21.0,757,376.124002
-21.0,821,393.753002
-21.0,762,409.881001
-21.0,759,426.135001
-21.0,908,445.673013
-21.0,759,461.916001
-21.0,823,479.159001
-21.0,935,498.912003
-20.0,840,516.207006
-21.0,1003,537.458002
-20.0,869,555.478001
-20.0,974,576.156001
-20.0,919,595.078002
-18.0,1179,619.339003
-21.0,906,638.586001
-19.0,1029,659.836002
-19.0,1277,686.278002
-19.0,1427,715.191003
-19.0,1374,742.948005
-19.0,1373,770.828001
-13.0,1795,807.182001
-15.0,1852,843.805002
-15.0,1837,882.585001
-8.0,2201,925.822002
-18.0,1418,953.917002
-11.0,1971,992.665001
-2.0,2689,1045.193002
-6.0,2429,1092.770001
1.0,2961,1150.358002
-2.0,2901,1206.838005
-2.0,2998,1264.899002
6.0,3083,1324.440003
10.0,2707,1376.938003
4.0,3350,1443.098002
11.0,2841,1498.342003
7.0,3408,1564.355001
18.0,2048,1604.808003
17.0,1958,1643.433002
18.0,1855,1680.158001
19.0,1743,1715.108001
20.0,1660,1747.906002
19.0,1701,1781.735004
17.0,1860,1818.596001
20.0,1658,1851.641002
19.0,1740,1886.329
20.0,1706,1920.212001
20.0,1787,1955.700003
20.0,1714,1989.653005
20.0,1743,2024.404013
20.0,1726,2058.683013
20.0,1818,2094.842001
20.0,1661,2127.931002
20.0,1786,2163.643004
19.0,1806,2199.558004
20.0,1746,2234.024005
21.0,1696,2267.890006
18.0,1820,2304.157005
19.0,1810,2340.260002
20.0,1669,2373.212003
20.0,1705,2406.575001
20.0,1710,2440.623002
20.0,1748,2475.221003
20.0,1767,2510.697003
20.0,1783,2546.252002
21.0,1693,2580.013002
20.0,1864,2617.094002
21.0,1692,2650.754001
-8.0,1832,2687.152003
18.0,1828,2723.306002
17.0,1954,2762.254002
20.0,1668,2795.678007
20.0,1657,2828.444002
19.0,1821,2864.854004
19.0,1818,2900.984001
19.0,1843,2937.853001
20.0,1680,2971.265001
20.0,1726,3005.128017
20.0,1733,3039.643001
20.0,1759,3074.828014
20.0,1656,3107.568003
20.0,1685,3141.109001
21.0,1648,3173.792006
20.0,1700,3207.705002
20.0,1754,3242.548006
19.0,1825,3278.988002
20.0,1662,3311.631001
19.0,1777,3347.401001
21.0,1626,3379.397001
20.0,1683,3412.949003
20.0,1777,3448.322003
20.0,1754,3483.137003
21.0,1649,3515.978003
20.0,1760,3550.847005
21.0,1645,3583.831002
20.0,1704,3617.638004
20.0,1664,3650.868002
20.0,1696,3685.011002
20.0,1719,3719.207002
20.0,1661,3752.289001
20.0,1694,3785.963008
20.0,1715,3820.236002
21.0,1652,3853.160005
19.0,1712,3887.151002
19.0,1792,3922.956001
21.0,1655,3955.793005
17.0,2058,3996.692001
21.0,1645,4029.301001
16.0,1922,4067.397002
19.0,1745,4102.005006
21.0,1654,4134.871003
20.0,1786,4170.421003
20.0,1712,4204.759002
21.0,1652,4237.353002
20.0,1776,4272.890001
21.0,1688,4306.565001
21.0,1650,4339.598001
20.0,1662,4373.169001
21.0,1653,4406.101004
20.0,1666,4439.360003
21.0,1643,4472.169002
21.0,1653,4504.982012
19.0,1800,4540.861002
21.0,1648,4573.701002
21.0,1692,4607.260002
21.0,1647,4640.026002
21.0,1652,4673.230002
21.0,1690,4706.757001
18.0,1839,4743.396003
21.0,1693,4777.079004
20.0,1738,4811.891002
21.0,1646,4844.608001
20.0,1760,4879.398004
21.0,1649,4912.534003
21.0,1650,4945.368004
21.0,1648,4978.144007
21.0,1646,5011.361001
21.0,1650,5044.072002
21.0,1655,5076.939001
21.0,1687,5110.238001
20.0,1670,5143.223004
21.0,1650,5175.887002
21.0,1655,5208.790002
20.0,1740,5243.512001
21.0,1652,5276.261003
20.0,1816,5313.092002
21.0,1644,5345.680001
21.0,1648,5378.683009
20.0,1745,5413.418006
21.0,1644,5446.220002
21.0,1648,5479.216002
21.0,1646,5512.106001
20.0,1721,5546.586004
21.0,1648,5579.344001
21.0,1655,5612.387002
20.0,1716,5646.645002
21.0,1648,5679.474001
21.0,1646,5712.197002
21.0,1653,5745.092003
21.0,1642,5777.726001
20.0,1721,5811.923006
20.0,1745,5846.783002
19.0,1867,5884.291003
21.0,1647,5917.226003
20.0,1655,5950.349001
21.0,1651,5983.048002
21.0,1652,6015.997001
21.0,1655,6049.145004
21.0,1650,6081.975001
20.0,1662,6115.140005
19.0,1780,6151.023002
20.0,1745,6185.506002
21.0,1655,6218.657004
21.0,1655,6251.511002
