# {"t_start": 1587134257.4308608, "env_id": "PongNoFrameskip-v4"} 
r,l,t
-20.0,838,19.966002
-21.0,819,37.691002
-21.0,907,57.714002
-21.0,909,77.474004
-20.0,897,97.264002
-21.0,758,114.239003
-21.0,763,131.004003
-21.0,760,148.027002
-21.0,762,165.007002
-21.0,764,182.108001
-21.0,760,198.874002
-21.0,763,215.897002
-19.0,914,236.015006
-21.0,760,253.177002
-21.0,764,270.352002
-21.0,762,287.379002
-21.0,758,304.290003
-21.0,761,321.239002
-21.0,849,340.063001
-21.0,758,356.095002
-21.0,762,372.541001
-21.0,762,388.626001
-21.0,758,404.474001
-21.0,819,422.484002
-21.0,764,439.032002
-21.0,822,456.594001
-21.0,874,474.794013
-19.0,1118,498.485001
-20.0,837,515.712001
-19.0,978,536.423002
-19.0,1245,562.476001
-21.0,929,581.811003
-21.0,849,599.482001
-19.0,1155,623.623003
-21.0,819,640.641004
-19.0,965,660.610002
-19.0,1163,684.478001
-21.0,900,702.627
-18.0,1315,729.566004
-19.0,1294,755.867001
-20.0,1588,787.516002
-13.0,2000,828.480004
-20.0,1201,853.569003
-11.0,2115,895.746001
-4.0,2324,941.860002
-12.0,1904,979.323001
-7.0,2255,1023.441001
-2.0,2767,1077.679001
-7.0,2517,1126.699003
-1.0,3196,1188.785003
-4.0,2792,1243.060004
-4.0,3052,1302.125001
1.0,3541,1370.640001
4.0,3260,1435.041002
11.0,2918,1491.752
12.0,2637,1542.745002
10.0,2755,1597.074001
19.0,1877,1633.895001
20.0,1698,1667.597002
20.0,1712,1701.508002
19.0,1742,1735.935001
18.0,1874,1773.468001
20.0,1745,1808.192001
20.0,1691,1841.882003
21.0,1645,1874.382003
19.0,1795,1910.170004
20.0,1661,1943.464001
20.0,1730,1977.604001
20.0,1750,2012.322003
20.0,1664,2045.467001
18.0,1810,2081.426001
18.0,2241,2126.023001
20.0,1724,2160.467007
19.0,1749,2195.277004
20.0,1668,2228.267001
20.0,1661,2261.412001
20.0,1666,2294.225001
19.0,1782,2329.972002
20.0,1764,2364.660001
20.0,1718,2398.747002
20.0,1731,2433.023003
20.0,1662,2465.944001
20.0,1727,2500.602002
20.0,1728,2534.845012
19.0,1739,2569.601002
20.0,1772,2604.848004
21.0,1690,2638.614003
21.0,1698,2672.110001
1.0,2329,2717.537002
18.0,1900,2756.021004
19.0,1809,2792.158001
20.0,1662,2824.601001
20.0,1763,2860.117002
20.0,1788,2895.816004
19.0,1771,2931.011001
21.0,1695,2964.976001
21.0,1643,2997.315002
20.0,1697,3030.738002
20.0,1750,3065.715001
20.0,1662,3098.779001
21.0,1699,3132.539002
21.0,1687,3166.397002
20.0,1685,3199.979001
21.0,1698,3233.685001
20.0,1826,3269.756001
20.0,1731,3304.034001
19.0,1887,3341.400001
20.0,1752,3376.495001
20.0,1725,3410.931003
18.0,1770,3446.112001
21.0,1650,3478.670002
20.0,1658,3511.677002
20.0,1661,3544.881001
21.0,1654,3577.699001
20.0,1665,3610.580003
20.0,1696,3644.706005
20.0,1668,3678.071001
20.0,1722,3712.637002
20.0,1730,3747.054001
20.0,1663,3780.010001
21.0,1727,3814.907001
20.0,1777,3850.245001
20.0,1816,3886.387002
21.0,1650,3919.365
21.0,1648,3952.115002
19.0,1828,3988.183001
20.0,1758,4023.049002
20.0,1724,4057.419001
20.0,1759,4092.253003
21.0,1650,4124.926003
21.0,1652,4157.855001
19.0,1809,4194.036001
21.0,1648,4226.637004
21.0,1645,4259.375003
19.0,1781,4295.050001
21.0,1643,4327.934001
21.0,1688,4362.096002
20.0,1703,4396.114002
21.0,1652,4429.134002
21.0,1647,4462.143002
21.0,1688,4495.436001
21.0,1653,4528.473002
21.0,1650,4561.426005
20.0,1740,4596.002002
21.0,1648,4628.659003
21.0,1689,4662.423001
18.0,1966,4701.643001
18.0,1925,4739.789002
21.0,1645,4772.857002
20.0,1775,4807.924001
20.0,1726,4842.434001
21.0,1649,4875.051002
20.0,1734,4909.739002
21.0,1654,4942.920004
21.0,1648,4975.668001
20.0,1708,5010.011001
20.0,1697,5043.651001
20.0,1728,5078.157
21.0,1654,5110.866003
17.0,1894,5148.222002
20.0,1693,5181.977004
21.0,1654,5214.786002
21.0,1646,5247.770002
21.0,1654,5280.723002
21.0,1651,5313.749001
21.0,1653,5346.442003
21.0,1653,5379.779002
20.0,1856,5416.624003
21.0,1651,5449.808001
21.0,1655,5482.678003
21.0,1651,5515.591002
21.0,1644,5548.759001
21.0,1655,5581.655005
21.0,1693,5615.329001
20.0,1747,5650.292001
21.0,1650,5683.064003
21.0,1652,5715.698002
21.0,1652,5748.750002
20.0,1696,5782.443003
21.0,1652,5815.049001
21.0,1649,5848.306012
21.0,1654,5881.344002
20.0,1664,5914.425004
21.0,1644,5947.338001
21.0,1653,5980.396001
21.0,1654,6013.239001
21.0,1650,6046.249002
21.0,1647,6079.324001
21.0,1654,6112.296001
21.0,1645,6145.132001
21.0,1637,6177.940001
21.0,1652,6210.809002
20.0,1773,6246.040003
