# {"t_start": 1587134258.3318624, "env_id": "PongNoFrameskip-v4"} 
r,l,t
-21.0,881,20.250999
-21.0,908,40.24
-20.0,931,60.498999
-20.0,991,82.254
-21.0,761,98.745999
-21.0,764,115.793999
-21.0,759,132.561999
-21.0,760,149.559998
-21.0,762,166.440003
-21.0,763,183.511002
-21.0,761,200.370002
-21.0,804,218.125999
-21.0,759,234.855005
-21.0,763,252.068002
-21.0,761,269.174
-21.0,760,286.192
-21.0,760,303.118005
-21.0,759,319.896004
-21.0,763,336.985002
-21.0,758,353.181
-21.0,761,369.43
-21.0,758,385.581999
-21.0,764,401.779999
-21.0,761,418.231999
-21.0,789,435.084999
-21.0,762,451.44
-21.0,987,472.202
-21.0,921,491.498999
-20.0,884,510.356999
-21.0,785,526.824
-20.0,895,545.389
-21.0,842,563.299001
-18.0,1015,584.483999
-20.0,1051,606.216
-19.0,1251,632.09
-20.0,1185,656.737003
-21.0,869,674.347
-19.0,1136,697.593999
-16.0,1445,727.053999
-20.0,1141,750.486012
-13.0,1904,788.614
-18.0,1664,822.674999
-15.0,1641,857.003002
-20.0,1513,886.785004
-9.0,2118,928.797
-7.0,2237,972.872999
-12.0,1751,1007.161999
-2.0,2636,1058.881002
-6.0,2387,1105.500002
-6.0,2461,1153.181998
-1.0,3218,1215.674003
-1.0,3373,1281.049999
-2.0,3726,1353.018002
-4.0,2976,1410.779001
10.0,2801,1466.306999
6.0,3159,1527.58
9.0,2803,1582.516001
19.0,1776,1617.356003
20.0,1747,1651.962005
20.0,1703,1686.034
19.0,1872,1723.286003
20.0,1720,1757.151999
20.0,1663,1790.434001
20.0,1699,1824.236999
20.0,1661,1856.946999
20.0,1703,1891.243999
20.0,1747,1926.011001
20.0,1659,1958.83
18.0,1920,1997.057
19.0,1789,2032.902999
19.0,1786,2068.182999
21.0,1682,2101.607999
19.0,1784,2137.018004
20.0,1749,2171.917004
19.0,1842,2208.297998
19.0,1727,2242.778003
19.0,1714,2276.706
19.0,1777,2312.338999
21.0,1691,2345.733999
20.0,1679,2379.020001
20.0,1701,2412.569
19.0,1764,2447.581003
21.0,1693,2481.272
20.0,1662,2514.394999
20.0,1756,2549.586999
18.0,1993,2589.078999
20.0,1780,2624.627999
20.0,1764,2659.540999
1.0,2568,2709.996001
21.0,1693,2743.519
14.0,2146,2786.059001
21.0,1652,2819.026002
20.0,1817,2855.228011
20.0,1702,2889.252
20.0,1666,2922.263004
20.0,1704,2956.484002
20.0,1670,2989.721002
20.0,1768,3024.648999
20.0,1687,3058.424
20.0,1738,3093.009002
19.0,1846,3129.675002
21.0,1696,3163.626001
20.0,1665,3196.92
20.0,1872,3234.106999
20.0,1661,3266.954
19.0,1806,3302.562999
18.0,1873,3339.638999
20.0,1670,3373.018002
20.0,1686,3406.876002
20.0,1693,3440.147999
20.0,1736,3474.770004
20.0,1711,3508.802999
20.0,1662,3541.935001
20.0,1667,3575.256001
21.0,1625,3607.342
21.0,1654,3640.344
20.0,1694,3674.323999
21.0,1651,3707.516006
19.0,1839,3744.038004
21.0,1645,3776.739999
21.0,1648,3809.706002
20.0,1666,3843.060001
21.0,1651,3876.081001
21.0,1648,3908.789999
21.0,1649,3941.71
19.0,1784,3976.987005
19.0,1877,4014.206999
21.0,1655,4047.028008
19.0,1809,4082.896001
21.0,1649,4115.681005
20.0,1804,4151.640012
19.0,1840,4188.279999
21.0,1650,4221.100999
19.0,1784,4256.433999
21.0,1655,4289.595
21.0,1649,4322.908002
21.0,1649,4355.910001
21.0,1688,4389.868999
20.0,1725,4424.285001
21.0,1645,4457.082
21.0,1692,4490.794999
21.0,1688,4524.516999
21.0,1644,4557.111
21.0,1649,4589.980003
21.0,1648,4622.69401
21.0,1651,4655.434003
21.0,1655,4688.403001
20.0,1784,4724.118007
20.0,1740,4758.727999
21.0,1652,4791.829007
19.0,1783,4826.946003
20.0,1829,4863.545001
21.0,1649,4896.224999
21.0,1650,4929.33001
21.0,1654,4962.360006
21.0,1655,4995.098001
21.0,1650,5028.101003
21.0,1653,5061.178005
21.0,1647,5093.819997
21.0,1649,5126.224003
21.0,1654,5159.287997
21.0,1648,5191.980004
20.0,1706,5225.907
19.0,1884,5263.353
21.0,1646,5296.351002
20.0,1659,5329.644
20.0,1714,5363.685001
21.0,1652,5396.830002
21.0,1643,5429.925999
20.0,1704,5463.681999
20.0,1768,5499.047004
21.0,1652,5531.98801
21.0,1689,5565.645
20.0,1773,5600.972
21.0,1647,5633.822
20.0,1744,5668.746
21.0,1653,5701.449004
21.0,1653,5734.435999
21.0,1655,5767.420004
21.0,1648,5800.195003
21.0,1652,5832.825009
21.0,1651,5866.018999
18.0,1868,5903.517999
21.0,1650,5936.336005
21.0,1651,5969.477005
20.0,1765,6004.330002
21.0,1652,6037.618004
17.0,1995,6077.393003
21.0,1648,6110.430002
21.0,1642,6143.057
20.0,1790,6179.093999
20.0,1946,6217.703011
20.0,1753,6252.492999
