# {"t_start": 1587134257.0028598, "env_id": "PongNoFrameskip-v4"} 
r,l,t
-21.0,788,19.062002
-21.0,817,36.891004
-20.0,894,56.456002
-21.0,779,73.350002
-21.0,866,92.523002
-21.0,762,109.547003
-21.0,762,126.399002
-21.0,760,143.438004
-21.0,758,160.370001
-21.0,762,177.258002
-21.0,758,194.249001
-21.0,834,212.642002
-21.0,763,229.430002
-21.0,757,246.600002
-21.0,764,263.708001
-21.0,758,280.797004
-21.0,758,297.610002
-21.0,764,314.489004
-21.0,760,331.545002
-21.0,763,348.030004
-21.0,759,364.238002
-21.0,764,380.768002
-21.0,846,398.538002
-21.0,760,414.963001
-21.0,762,431.280002
-21.0,789,448.484002
-21.0,758,464.339004
-21.0,866,482.326001
-21.0,994,503.179002
-20.0,901,522.135004
-20.0,954,542.262002
-20.0,977,562.626002
-20.0,952,582.562003
-19.0,1053,604.712005
-20.0,957,624.638002
-19.0,1265,650.709002
-21.0,1145,674.038026
-21.0,1058,695.894002
-16.0,1651,729.438002
-18.0,1589,761.983003
-15.0,1651,795.401002
-20.0,1506,825.740002
-18.0,1495,856.971005
-11.0,1988,896.485002
-17.0,1644,928.791003
-14.0,1642,961.399003
-7.0,2183,1004.168003
-3.0,2668,1056.362002
-6.0,2442,1104.002002
-3.0,3066,1163.719004
2.0,2838,1218.783002
-2.0,3174,1280.134004
5.0,3078,1339.337002
10.0,2897,1395.444003
6.0,3146,1457.835002
9.0,3158,1519.140003
9.0,2866,1575.220003
16.0,2160,1617.811002
20.0,1661,1650.485003
19.0,1730,1685.282001
21.0,1691,1718.775004
19.0,1881,1756.215003
19.0,1743,1790.762002
20.0,1665,1823.950004
20.0,1662,1856.724002
20.0,1670,1890.131003
20.0,1667,1923.394004
19.0,1811,1959.232004
20.0,1757,1994.280001
20.0,1727,2028.599002
19.0,1780,2064.135004
20.0,2097,2105.693002
20.0,1692,2139.469002
19.0,2027,2179.682003
19.0,1881,2216.873002
21.0,1711,2251.331002
18.0,1907,2288.983003
20.0,1704,2322.929003
20.0,1732,2357.017004
17.0,1859,2393.917002
21.0,1687,2427.441006
20.0,1741,2461.995003
20.0,1784,2497.602003
20.0,1785,2533.167001
20.0,1752,2567.968003
20.0,1704,2602.035003
21.0,1705,2635.821002
20.0,1740,2670.484002
3.0,2388,2716.823002
20.0,1789,2752.482001
17.0,1882,2790.304002
20.0,1679,2823.524002
18.0,1874,2861.535002
21.0,1696,2895.035003
20.0,1704,2928.876006
20.0,1770,2964.355002
20.0,1772,2999.626002
20.0,1670,3032.409003
20.0,1866,3069.654002
20.0,1774,3104.844002
20.0,1730,3139.556004
20.0,1669,3172.669002
20.0,1667,3205.776003
20.0,1666,3239.014002
18.0,1850,3275.740002
21.0,1651,3308.214001
19.0,1869,3345.975002
20.0,1665,3378.879002
20.0,1699,3412.718002
19.0,1739,3447.298002
20.0,1747,3481.827003
20.0,1666,3515.140002
20.0,1724,3549.275002
21.0,1654,3582.380003
20.0,1656,3615.388002
20.0,1710,3649.321002
21.0,1648,3682.336003
21.0,1648,3715.444001
21.0,1647,3748.157002
21.0,1652,3780.915003
19.0,1813,3817.331003
21.0,1648,3850.071002
21.0,1647,3882.955002
19.0,1789,3918.589001
19.0,1827,3954.979002
21.0,1647,3987.508003
17.0,1859,4024.516002
21.0,1650,4057.143002
16.0,2131,4099.110002
20.0,1663,4132.299002
21.0,1649,4165.190004
20.0,1720,4199.616004
21.0,1682,4233.103004
21.0,1690,4266.746002
19.0,1844,4303.780003
19.0,1801,4339.802003
20.0,1659,4373.161002
21.0,1652,4406.064003
21.0,1650,4438.893005
21.0,1690,4472.920002
20.0,1816,4508.848002
20.0,1877,4546.459002
19.0,1730,4580.882002
20.0,1753,4615.886003
21.0,1653,4648.646003
21.0,1746,4683.683001
21.0,1649,4716.338002
20.0,1743,4751.189003
21.0,1693,4784.814002
21.0,1649,4817.490004
20.0,1726,4852.171002
19.0,1812,4887.849002
19.0,1720,4922.177002
21.0,1645,4955.230001
21.0,1650,4987.800003
21.0,1654,5021.107002
21.0,1649,5053.767002
21.0,1688,5087.221002
21.0,1650,5119.778002
21.0,1648,5152.637003
21.0,1648,5185.293002
20.0,1700,5219.228003
20.0,1744,5253.953002
21.0,1648,5286.776003
21.0,1645,5319.980002
19.0,1943,5358.669002
21.0,1651,5391.587002
21.0,1653,5424.781003
21.0,1654,5457.761003
21.0,1646,5490.669002
21.0,1644,5523.216002
21.0,1643,5556.187002
20.0,1785,5591.886004
21.0,1647,5624.670003
17.0,2061,5665.748002
20.0,1729,5700.160002
21.0,1651,5733.037002
21.0,1648,5765.678002
21.0,1655,5798.798002
21.0,1654,5831.403003
21.0,1650,5864.385001
21.0,1652,5897.494002
20.0,1713,5931.740002
21.0,1648,5964.508002
21.0,1648,5997.462002
21.0,1647,6030.421002
21.0,1646,6063.366002
21.0,1651,6096.273001
21.0,1646,6129.227003
21.0,1650,6162.262001
21.0,1692,6195.917003
19.0,1825,6232.356003
18.0,1935,6270.997002
