# {"t_start": 1587134257.8058596, "env_id": "PongNoFrameskip-v4"} 
r,l,t
-21.0,762,17.547005
-21.0,781,34.485004
-19.0,974,56.100003
-18.0,1142,81.432002
-21.0,790,98.675002
-21.0,758,115.626004
-21.0,763,132.380002
-21.0,759,149.371004
-21.0,763,166.337002
-21.0,760,183.382002
-19.0,1056,207.026002
-21.0,760,223.805002
-21.0,761,240.909009
-21.0,762,257.929004
-21.0,763,275.126003
-21.0,758,292.048002
-21.0,821,310.302002
-21.0,760,327.260002
-21.0,760,343.879002
-21.0,763,360.313002
-21.0,785,376.816003
-20.0,835,394.532002
-21.0,761,410.791003
-18.0,1137,435.057006
-21.0,792,452.137003
-21.0,762,468.253009
-19.0,936,487.921002
-21.0,820,505.143005
-20.0,839,522.770002
-18.0,1149,547.019002
-21.0,894,565.852003
-21.0,898,584.425002
-20.0,1212,609.416003
-20.0,986,629.812003
-17.0,1268,656.224002
-20.0,999,676.676002
-17.0,1510,707.687002
-20.0,922,726.222002
-20.0,1040,747.571002
-13.0,1598,779.280003
-14.0,1595,812.169002
-14.0,1726,847.308005
-21.0,1219,872.626003
-21.0,1452,901.319002
-8.0,2260,945.852004
-5.0,2588,996.792003
-2.0,2569,1047.138005
1.0,3010,1105.946004
-4.0,2709,1158.733004
4.0,2837,1213.568002
2.0,3381,1278.930003
4.0,3190,1340.468003
2.0,3514,1408.731004
4.0,3421,1476.662004
5.0,3091,1536.234002
11.0,2623,1587.995003
17.0,2004,1627.214002
20.0,1656,1660.061002
19.0,1714,1694.365005
18.0,1913,1732.198002
19.0,1776,1767.414006
20.0,1667,1800.702001
21.0,1645,1833.514002
19.0,1959,1872.273002
20.0,1684,1906.102004
20.0,1708,1939.897003
19.0,1872,1977.113002
20.0,1720,2011.287005
20.0,1849,2048.172002
20.0,1749,2082.881004
20.0,1834,2119.257002
18.0,1879,2156.693003
18.0,1825,2193.328002
20.0,1668,2225.937002
20.0,1807,2262.366003
19.0,1752,2296.883004
19.0,1883,2334.394003
20.0,1719,2368.475007
20.0,1881,2405.260003
20.0,1694,2439.111002
20.0,1661,2472.067003
20.0,1660,2505.155003
21.0,1693,2539.169004
18.0,1831,2575.384002
18.0,1892,2613.195002
20.0,1661,2646.268007
2.0,2541,2696.795009
20.0,1756,2731.574001
17.0,1963,2770.518002
19.0,1888,2808.012004
18.0,1935,2846.359001
20.0,1782,2881.728002
21.0,1698,2915.735005
20.0,1761,2950.694002
20.0,1715,2984.972003
20.0,1834,3020.954002
21.0,1687,3054.907005
21.0,1709,3088.855002
21.0,1716,3122.928006
20.0,1724,3157.655005
19.0,1760,3192.305002
20.0,1733,3227.252002
18.0,1781,3262.129003
20.0,1775,3297.449002
16.0,2026,3337.458003
19.0,1758,3372.393002
21.0,1629,3405.262003
20.0,1704,3438.694003
21.0,1696,3472.417002
20.0,1656,3505.658002
20.0,1669,3538.718005
20.0,1727,3573.085003
21.0,1648,3605.890002
21.0,1651,3638.783002
21.0,1649,3671.805004
20.0,1665,3705.313006
21.0,1648,3737.995003
21.0,1649,3770.934005
20.0,1731,3805.494002
21.0,1650,3838.281006
21.0,1693,3872.164003
20.0,1771,3907.531002
20.0,1662,3940.476002
21.0,1654,3973.402004
20.0,1772,4008.394004
21.0,1649,4041.173002
20.0,1713,4075.249002
20.0,1806,4110.950003
21.0,1648,4143.835003
21.0,1650,4176.798003
21.0,1694,4210.638002
20.0,1662,4243.628002
21.0,1649,4276.463005
21.0,1693,4310.408002
21.0,1648,4343.537002
20.0,1712,4377.702004
20.0,1865,4415.057002
20.0,1667,4448.323004
20.0,1728,4483.044003
21.0,1649,4515.698002
21.0,1654,4548.692003
21.0,1654,4581.610003
20.0,1657,4614.464006
21.0,1651,4647.230002
20.0,1666,4680.517003
21.0,1649,4713.448002
18.0,1840,4750.143003
20.0,1758,4785.027002
20.0,1728,4819.407004
21.0,1648,4852.409003
20.0,1726,4886.398003
20.0,1805,4922.469005
21.0,1653,4955.614003
13.0,2103,4997.189004
20.0,1813,5033.341002
21.0,1648,5066.375003
19.0,1718,5100.460003
21.0,1650,5132.862004
20.0,1741,5167.544008
20.0,1660,5200.544003
20.0,1725,5234.878002
21.0,1653,5267.797006
21.0,1654,5300.982002
21.0,1644,5333.712001
20.0,1744,5368.652003
21.0,1652,5401.666003
21.0,1649,5434.694003
21.0,1650,5467.728005
21.0,1648,5500.650003
21.0,1653,5533.665006
21.0,1654,5566.644005
21.0,1651,5599.524003
21.0,1652,5632.457005
21.0,1645,5665.338002
21.0,1653,5698.226002
20.0,1667,5731.328004
18.0,1874,5768.757003
21.0,1648,5801.486004
21.0,1642,5833.959003
21.0,1650,5867.307007
21.0,1648,5900.188004
21.0,1649,5932.973002
19.0,1706,5967.233009
20.0,1724,6001.557003
21.0,1647,6034.261002
19.0,1836,6071.046002
21.0,1650,6104.086004
20.0,1725,6138.238003
20.0,1704,6172.445004
21.0,1650,6205.285006
21.0,1650,6238.270002
21.0,1650,6271.206013
