# {"t_start": 1587134256.6168606, "env_id": "PongNoFrameskip-v4"} 
r,l,t
-21.0,825,20.376001
-20.0,1007,42.930001
-21.0,789,59.976003
-20.0,1146,85.306001
-21.0,763,101.991001
-21.0,760,118.896001
-21.0,760,135.812001
-21.0,761,152.722003
-21.0,759,169.440002
-21.0,764,186.538001
-20.0,885,206.301004
-21.0,762,223.123002
-21.0,764,240.203002
-21.0,762,257.240004
-21.0,757,274.311001
-21.0,759,291.205005
-21.0,757,307.908001
-21.0,805,325.882001
-21.0,846,344.545001
-21.0,760,360.890002
-21.0,760,376.870001
-21.0,762,393.267003
-21.0,819,410.650002
-21.0,759,426.877001
-21.0,760,443.107003
-21.0,760,459.598002
-21.0,880,478.115002
-20.0,840,495.323001
-21.0,1116,518.979001
-21.0,819,535.958001
-19.0,951,555.856002
-21.0,1050,578.172002
-17.0,1305,605.406002
-19.0,1038,627.069001
-20.0,1007,647.781001
-20.0,937,667.207001
-20.0,914,685.810001
-19.0,993,706.062003
-19.0,1156,729.360003
-19.0,1165,753.283001
-13.0,1860,790.554001
-19.0,1505,821.269001
-12.0,1918,861.380001
-18.0,1542,891.715001
-20.0,1354,918.239002
-8.0,2120,960.312003
-12.0,1755,994.665001
-7.0,2324,1040.168002
-8.0,2455,1088.314002
-6.0,2404,1135.317002
-6.0,2286,1179.468001
-5.0,2679,1231.124001
-5.0,3126,1291.840003
-5.0,3016,1350.261
8.0,2828,1404.734001
3.0,3435,1472.913001
8.0,3102,1533.051001
10.0,2899,1590.047001
16.0,2122,1631.671001
19.0,1831,1668.151001
18.0,1916,1706.417001
21.0,1691,1739.821001
20.0,1659,1772.681001
19.0,1782,1808.274001
20.0,1670,1841.508001
20.0,1656,1874.210001
20.0,1721,1908.541002
20.0,1663,1941.697002
20.0,1754,1976.497
19.0,1808,2012.347004
21.0,1691,2046.094001
20.0,1724,2080.164001
18.0,1975,2119.412001
20.0,1722,2153.878001
18.0,1889,2191.495002
18.0,1871,2228.640001
18.0,1837,2265.401001
19.0,1812,2301.278002
19.0,1722,2335.390002
17.0,1855,2372.379002
19.0,1888,2409.435002
20.0,1786,2444.915001
20.0,1729,2479.324001
20.0,1842,2516.027001
20.0,1790,2551.987001
20.0,1770,2586.921003
19.0,1748,2621.964002
20.0,1669,2654.902001
-10.0,1615,2686.829003
21.0,1692,2720.328003
20.0,1775,2755.477003
18.0,1904,2793.752001
21.0,1694,2827.160002
20.0,1707,2861.427001
18.0,1985,2901.122001
19.0,1919,2939.491
20.0,1804,2975.640002
19.0,1723,3009.493001
20.0,1729,3043.784001
20.0,1664,3077.176002
19.0,1819,3113.107001
21.0,1710,3147.506001
19.0,1787,3182.695001
19.0,1859,3219.997001
18.0,1776,3254.918001
19.0,1789,3290.367001
20.0,1779,3325.541002
20.0,1696,3359.511001
20.0,1657,3392.281002
20.0,1692,3426.204002
20.0,1723,3460.200001
20.0,1715,3494.397002
20.0,1748,3529.222002
19.0,1880,3566.637001
19.0,1869,3603.467002
20.0,1719,3637.834002
21.0,1652,3670.699001
19.0,1864,3708.185001
19.0,1738,3742.654002
20.0,1731,3777.220003
20.0,1667,3810.479001
21.0,1649,3843.419001
21.0,1646,3876.461002
21.0,1653,3909.316
20.0,1729,3943.762001
21.0,1645,3976.423001
21.0,1654,4008.929006
21.0,1653,4041.801001
13.0,2011,4081.737001
21.0,1643,4114.487003
19.0,1843,4150.906002
21.0,1653,4184.179003
19.0,1774,4219.120001
20.0,1735,4253.852001
21.0,1653,4286.884001
19.0,1724,4321.631003
21.0,1648,4354.614001
20.0,1773,4390.117001
21.0,1687,4423.864001
21.0,1648,4456.726001
21.0,1643,4489.330001
21.0,1645,4522.171002
21.0,1644,4555.062001
20.0,1774,4590.130002
20.0,1704,4624.058002
20.0,1670,4657.274001
21.0,1690,4691.053001
21.0,1649,4724.089
21.0,1692,4757.686002
21.0,1655,4790.728002
21.0,1688,4824.271002
18.0,1893,4861.918005
21.0,1647,4894.604001
21.0,1648,4927.423002
21.0,1643,4960.380001
21.0,1653,4993.255001
17.0,1807,5029.157003
21.0,1650,5062.184002
21.0,1648,5094.815002
18.0,2065,5135.372002
21.0,1654,5168.286001
19.0,1743,5203.048002
21.0,1646,5235.715001
21.0,1648,5268.501001
21.0,1647,5301.577001
20.0,1657,5334.601001
21.0,1648,5367.631003
21.0,1651,5400.836001
21.0,1650,5433.837002
21.0,1650,5466.672001
21.0,1647,5499.620001
21.0,1651,5532.476002
20.0,1731,5567.008002
21.0,1645,5599.844001
21.0,1649,5632.771001
21.0,1648,5665.648003
21.0,1651,5698.414001
20.0,1744,5733.242003
21.0,1651,5765.962002
21.0,1650,5798.947001
21.0,1645,5831.390001
21.0,1650,5864.377002
20.0,1718,5899.048002
21.0,1650,5931.785001
20.0,1740,5966.619002
21.0,1692,6000.400002
21.0,1650,6033.211001
21.0,1655,6066.317004
21.0,1653,6099.574001
21.0,1645,6132.132001
21.0,1644,6165.170003
21.0,1666,6198.555001
16.0,1881,6235.755001
21.0,1654,6268.957002
